code,employment,employment2,occupation,code.variants,career_cluster,entry_level_education,typical_on_the_job_training,annual_wage_2021,projected_growth_2020.2030,active_listening.l,active_learning.l,critical_thinking.l,monitoring.l,complex_problem_solving.l,time_management.l,social_perceptiveness.l,judgment_and_decision.l,systems_evaluation.l,programming.l,operations_analysis.l,problem_sensitivity.l,fluency_of_ideas.l,originality.l,deductive_reasoning.l,inductive_reasoning.l,information_ordering.l,written_expression.l,oral_expression.l,oral_comprehension.l,written_comprehension.l,freedom_to_make_decisions.l,installation.l,equipment_selection.l,equipment_maintenance.l,troubleshooting.l,repairing.l,finger_dexterity.l,manual_dexterity.l,wrist_finger_speed.l,visual_color_discrimination.l,exposed_to_hazardous_conditions.l,repairing_and_maintaining_electronic_equipment.l,repairing_and_maintaining_mechanical_equipment.l,basic.science.l,therapy_and_counseling.l,medicine_and_dentistry.l,chemistry.l,biology.l,psychology.l,deal_with_physically_aggressive_people.l,exposed_to_disease_or_infections.l,exposed_to_radiation.l,physical_proximity.l,consequence_of_error.l,assisting_and_caring_for_others.l,spatial_orientation.l,sound_localization.l,glare_sensitivity.l,night_vision.l,peripheral_vision.l,transportation.l,exposed_to_whole_body_vibrations.l,extremely_bright_or_inadequate_lighting.l,very_hot_or_cold_temperatures.l,exposed_to_high_places.l,in_a_enclosed_vehicle_or_equipment.l,in_an_open_vehicle_or_equipment.l,indoors_not_environmentally_controlled.l,outdoors_exposed_to_weather.l,outdoors_under_cover.l,operating_vehicles_mechanized_devices_or_equipment.l,management_of_financial_resources.l,management_of_material_resources.l,management_of_personal_resources.l,coordination.l,administration_and_management.l,personnel_and_human_resources.l,responsibility_for_outcomes_and_results.l,monitoring_and_controlling_resources.l,staffing_organizational_units.l,resolving_conflicts_and_negotiating_with_others.l,coaching_and_developing_others.l,coordinating_the_work_and_activities_of_others.l,developing_and_building_teams.l,guiding_directing_and_motivating_subordinates.l,training_and_teaching_others.l,scheduling_work_and_activities.l,service_orientation.l,speech_recognition.l,face_to_face_discussions.l,telephone.l,contact_with_others.l,deal_with_unpleasant_or_angry_people.l,frequency_of_conflict_situations.l,coordinate_or_lead_others.l,deal_with_external_customers.l,work_with_work_group_or_team.l,frequency_of_decision_making.l,identifying_objectives_actions_and_events.l,getting_information.l,monitoring_processes_materials_or_surroundings.l,interpreting_the_meaning_of_information_for_others.l,providing_consultation_and_advice_to_others.l,analysing_data_or_information.l,evaluating_information_to_determine_compliance_with_standards.l,judging_the_qualities_of_objects_services_or_people.l,processing_information.l,developing_objectives_and_strategies.l,making_decisions_and_solving_problems.l,organizing_planning_and_prioritizing_work.l,thinking_creatively.l,updating_and_using_relevant_knowledge.l,documenting_recording_information.l,working_with_computers.l,negotiation.l,persuasion.l,economics_and_accounting.l,customer_and_personal_service.l,sales_and_marketing.l,level_of_competition.l,communicating_with_people_outside_the_organization.l,performing_for_or_working_directly_with_the_public.l,selling_or_influencing_others.l,operations_monitoring.l,operation_and_control.l,time_sharing.l,selective_attention.l,explosive_strength.l,response_orientation.l,control_precision.l,multilimb_coordination.l,arm_hand_steadiness.l,reaction_time.l,auditory_attention.l,hearing_sensitivity.l,far_vision.l,depth_perception.l,administrative.l,computers_and_electronics.l,electronic_mail.l,time_pressure.l,importance_of_being_exact_or_accurate.l,importance_of_repeating_same_tasks.l,performing_administrative_activities.l,quality_control_analysis.l,technology_design.l,visualization.l,telecommunications.l,building_and_construction.l,engineering_and_technology.l,mechanical.l,design.l,public_safety_and_security.l,production_and_processing.l,physics.l,spent_time_climbing_ladders_scaffolds_or_poles.l,inspecting_equipment_structures_or_materials.l,drafting_laying_out_and_specifying_technical_devices_parts_and_equipment.l,basic.mathematics.l,systems_analysis.l,category_flexibility.l,perceptual_speed.l,flexibility_of_closure.l,speed_of_closure.l,number_facility.l,mathematical_reasoning.l,memorization.l,mathematics.l,rate_control.l,spend_time_using_your_hands_to_handle_control_or_feel_objects_tools_or_controls.l,exposed_to_contaminants.l,sounds_noise_levels_are_distracting_or_uncomfortable.l,exposed_to_hazardous_equipment.l,wear_common_protective_or_safety_equipment.l,wear_specialized_protective_or_safety_equipment.l,pace_determined_by_speed_of_equipment.l,controlling_machines_and_processes.l,handling_and_moving_objectives.l,learning_strategies.l,instructing.l,speech_clarity.l,english_language.l,history_and_archeology.l,philosophy_and_theology.l,fine_arts.l,communications_and_media.l,education_and_training.l,geography.l,sociology_and_anthropology.l,public_speaking.l,dynamic_flexibility.l,gross_body_equilibrium.l,extent_flexibility.l,gross_body_coordination.l,static_strength.l,dynamic_strength.l,trunk_strength.l,stamina.l,speed_of_limb_movement.l,responsible_for_others_health_and_safety.l,spend_time_bending_or_twisting_the_body.l,spend_time_keeping_or_regaining_balance.l,spend_time_kneeling_crouching_stooping_or_crawling.l,spend_time_making_repetitive_motions.l,spend_time_standing.l,spend_time_walking_and_running.l,cramped_work_space_awkward_positions.l,exposed_to_minor_burns_cuts_bites_or_stings.l,performing_general_physical_activities.l
11-1011,200480,100240,Chief Executives,2,Business Management & Administration,Bachelor's degree,None,179520,Decline,70,68,68,79,71,68,61,82,73,9,61,71,66,61,71,71,56.99999999999999,66,71,70,66,98,0,0,0,0,0,28.999999999999996,0,0,23,16,0,0,16,36,0,14.000000000000002,0,56.00000000000001,22,18,2,43,61,34,0,0,0,0,0,27,15,22,26,12,51,15,32,30,16,0,79,68,77,73,89,72,86,86,66,87,69,73,74,84,48,61,48,66,100,100,95,64,77,92,83,94,98,70,76,68,65,77,77,77,77,76,81,88,83,70,70,40,55.00000000000001,66,71,62,79,56.00000000000001,80,84,48,66,23,21,41,45,0,0,16,13,0,0,30,21,45,21,50,36,100,80,79,56.00000000000001,59,14.000000000000002,11,55.00000000000001,23,28.999999999999996,23,15,28.999999999999996,52,42,0,6,30,17,52,77,59,41,50,48,59,55.00000000000001,45,60,0,22,33,49,28.999999999999996,25,9,17,0,0,55.00000000000001,55.00000000000001,70,65,0,26,0,48,64,18,43,60,0,0,0,0,0,0,0,0,0,70,12,9,11,30,34,28.999999999999996,11,12,0
11-1011,200480,100240,Chief Sustainability Officers,2,Business Management & Administration,Bachelor's degree,None,179520,Decline,56.99999999999999,55.00000000000001,59,56.99999999999999,59,55.00000000000001,55.00000000000001,56.99999999999999,56.99999999999999,16,45,59,59,56.99999999999999,68,59,54,63,68,66,61,84,0,0,0,0,0,20,0,0,28.999999999999996,9,13,0,27,25,0,39,51,47,5,1,4,45,28.999999999999996,38,0,0,0,0,0,48,5,13,16,12,48,7.000000000000001,28.999999999999996,31,25,16,45,37,56.99999999999999,55.00000000000001,71,54,71,69,61,67,68,72,69,70,60,70,46,55.00000000000001,92,94,85,35,51,81,71,95,67,65,77,57.99999999999999,71,76,69,62,63,68,79,80,87,69,80,49,46,46,56.99999999999999,55.00000000000001,63,62,68,87,63,72,27,14.000000000000002,34,43,0,0,7.000000000000001,7.000000000000001,0,0,25,25,39,25,63,51,100,62,63,20,56.00000000000001,21,16,41,19,52,48,34,46,39,34,33,10,34,30,45,56.99999999999999,50,30,43,37,43,43,39,56.00000000000001,0,18,15,28.999999999999996,10,22,9,5,14.000000000000002,19,54,48,54,70,32,39,15,53,69,59,56.99999999999999,48,0,0,0,0,0,0,7.000000000000001,0,0,41,8,6,8,25,33,22,9,12,24
11-1021,2984920,2984920,General and Operations Managers,1,Business Management & Administration,Bachelor's degree,None,97970,Average,56.99999999999999,52,56.99999999999999,56.99999999999999,54,54,56.99999999999999,54,45,9,45,55.00000000000001,46,48,54,48,52,56.99999999999999,56.99999999999999,59,56.99999999999999,95,0,0,0,20,0,0,11,9,32,16,24,30,16,21,12,25,13,40,11,14.000000000000002,2,55.00000000000001,56.99999999999999,42,9,9,5,7.000000000000001,13,33,1,9,24,21,28.000000000000004,8,33,24,10,28.999999999999996,48,46,55.00000000000001,55.00000000000001,74,63,89,65,56.99999999999999,63,62,64,50,68,51,61,45,46,99,98,95,61,68,85,78,95,89,60,59,62,44,69,52,57.99999999999999,63,59,54,64,73,54,65,47,52,52,50,55.00000000000001,72,57.99999999999999,61,57.99999999999999,59,46,37,25,41,41,11,11,20,21,21,25,28.999999999999996,28.999999999999996,41,27,53,56.99999999999999,96,81,75,65,46,30,16,36,33,37,33,42,38,45,62,20,9,45,27,36,43,43,32,32,30,37,45,32,59,16,36,33,56.00000000000001,42,46,10,15,35,48,46,46,46,53,0,0,0,38,55.00000000000001,24,19,47,0,9,7.000000000000001,18,25,11,30,21,9,81,16,7.000000000000001,12,36,45,31,13,19,39
11-2011,22520,22520,Advertising and Promotions Managers,1,Marketing,Bachelor's degree,None,127150,Faster than average,59,59,59,61,55.00000000000001,55.00000000000001,56.99999999999999,56.99999999999999,54,11,45,56.99999999999999,59,55.00000000000001,64,55.00000000000001,54,56.99999999999999,68,63,56.99999999999999,76,0,0,0,0,0,16,5,11,39,2,0,0,9,20,7.000000000000001,0,0,39,4,1,0,46,30,28.999999999999996,0,0,0,0,0,23,1,12,12,4,32,3,17,37,25,15,52,37,55.00000000000001,59,63,44,70,44,33,50,47,55.00000000000001,44,47,40,57.99999999999999,46,56.99999999999999,97,95,92,48,54,78,80,87,83,55.00000000000001,67,44,41,36,57.99999999999999,28.999999999999996,52,59,56.00000000000001,60,79,68,64,44,56.00000000000001,54,55.00000000000001,42,77,80,59,81,54,64,9,0,30,39,0,0,0,0,7.000000000000001,0,18,18,45,14.000000000000002,62,60,100,85,83,43,52,14.000000000000002,11,45,27,0,22,0,42,31,38,0,2,15,0,46,45,55.00000000000001,39,45,39,45,45,34,51,0,27,11,34,5,6,0,0,20,35,46,43,55.00000000000001,69,16,30,33,74,55.00000000000001,30,40,39,0,0,0,0,0,0,13,0,0,38,8,7.000000000000001,9,38,28.000000000000004,24,10,7.000000000000001,22
11-2021,278690,278690,Marketing Managers,1,Marketing,Bachelor's degree,None,135030,Faster than average,59,59,61,61,55.00000000000001,54,56.99999999999999,56.99999999999999,54,18,52,55.00000000000001,61,56.99999999999999,63,55.00000000000001,50,59,59,63,59,86,0,0,0,0,0,18,0,11,41,2,0,0,21,16,0,0,0,41,4,2,8,47,44,32,0,0,0,0,0,22,1,9,13,2,32,2,22,10,6,13,54,39,55.00000000000001,54,66,51,76,55.00000000000001,31,71,53,69,61,60,48,56.99999999999999,46,55.00000000000001,94,98,90,44,55.00000000000001,83,81,92,78,65,71,52,43,62,57.99999999999999,37,50,56.00000000000001,60,67,84,67,65,36,45,55.00000000000001,63,51,69,86,74,80,44,78,18,0,37,41,0,0,0,0,0,0,23,21,46,11,59,57.99999999999999,100,80,70,45,42,20,13,43,37,0,35,0,51,32,42,0,1,10,0,45,54,52,41,43,43,50,52,43,63,0,33,14.000000000000002,35,12,8,1,1,0,0,50,50,55.00000000000001,72,16,16,19,60,59,36,35,59,0,0,0,0,0,0,13,0,0,30,6,5,7.000000000000001,43,27,24,5,2,15
11-2022,453800,453800,Sales Managers,1,Marketing,Bachelor's degree,None,127490,Average,56.99999999999999,55.00000000000001,56.99999999999999,68,55.00000000000001,55.00000000000001,59,56.99999999999999,55.00000000000001,13,41,55.00000000000001,54,55.00000000000001,63,56.99999999999999,48,56.99999999999999,59,64,56.99999999999999,78,0,0,0,0,0,18,9,7.000000000000001,23,7.000000000000001,13,12,9,15,0,14.000000000000002,0,42,8,3,1,48,18,37,7.000000000000001,0,0,0,0,30,1,13,18,2,57.99999999999999,5,23,28.999999999999996,24,20,52,43,56.99999999999999,59,75,56.00000000000001,68,65,59,76,75,72,66,75,69,70,55.00000000000001,56.99999999999999,83,100,96,56.00000000000001,56.00000000000001,72,82,84,66,53,65,42,51,76,68,46,56.99999999999999,60,68,75,81,70,70,45,51,55.00000000000001,63,53,77,88,79,76,65,84,25,18,34,37,0,7.000000000000001,13,9,7.000000000000001,0,27,21,41,14.000000000000002,61,56.99999999999999,100,68,68,40,50,20,13,36,28.000000000000004,16,28.999999999999996,20,20,21,44,13,2,25,19,46,54,52,34,39,43,52,54,43,60,0,13,14.000000000000002,41,11,11,1,2,11,16,54,52,59,67,0,17,9,43,66,34,24,50,0,0,0,0,0,0,20,0,0,26,6,7.000000000000001,8,15,39,25,10,6,20
11-3012,224620,224620,Administrative Services Managers,1,Business Management & Administration,Postsecondary nondegree award,Moderate-term on-the-job training,100170,Average,56.99999999999999,48,55.00000000000001,52,45,56.99999999999999,54,45,45,9,36,54,45,45,55.00000000000001,48,45,56.99999999999999,56.99999999999999,56.99999999999999,56.99999999999999,78,0,0,0,18,0,30,23,0,28.999999999999996,11,35,36,0,20,15,19,0,28.000000000000004,19,23,0,45,44,50,7.000000000000001,11,9,9,9,20,1,15,21,11,28.999999999999996,13,23,20,17,28.000000000000004,41,41,54,52,65,59,76,60,54,68,62,67,50,68,53,73,46,52,98,95,88,52,55.00000000000001,73,78,89,73,63,72,62,39,56.99999999999999,53,55.00000000000001,56.00000000000001,62,48,67,78,61,71,56.00000000000001,53,46,45,45,74,28.999999999999996,37,56.00000000000001,44,32,32,14.000000000000002,41,43,11,9,25,14.000000000000002,28.999999999999996,13,32,30,39,23,74,59,99,68,79,59,60,30,11,39,31,31,23,32,28.999999999999996,47,43,16,8,40,28.000000000000004,30,45,45,34,34,37,39,36,37,51,13,31,28.000000000000004,43,12,21,4,12,40,61,46,46,50,55.00000000000001,11,19,0,31,44,16,21,32,0,9,11,9,14.000000000000002,11,18,7.000000000000001,0,76,18,8,17,44,37,37,13,19,50
11-3021,485190,485190,Computer and Information Systems Managers,1,Business Management & Administration,Bachelor's degree,None,159010,Faster than average,56.99999999999999,55.00000000000001,56.99999999999999,63,55.00000000000001,54,54,54,55.00000000000001,37,48,56.99999999999999,54,50,56.99999999999999,56.99999999999999,56.99999999999999,59,63,64,63,86,0,28.999999999999996,9,36,11,28.999999999999996,28.999999999999996,20,34,9,25,0,20,0,0,0,0,32,2,1,1,41,68,33,0,0,0,0,0,0,0,8,6,7.000000000000001,7.000000000000001,2,17,4,3,15,48,45,54,55.00000000000001,62,57.99999999999999,89,64,64,67,71,74,69,72,55.00000000000001,65,45,50,91,87,90,49,57.99999999999999,89,51,94,73,73,73,76,61,75,71,66,68,74,66,74,86,74,76,59,87,46,50,31,67,25,66,46,22,53,41,23,30,41,0,0,28.999999999999996,5,28.999999999999996,0,25,21,41,16,53,88,100,59,76,72,57.99999999999999,43,28.999999999999996,43,40,0,56.99999999999999,0,43,22,20,0,4,48,27,45,50,45,39,43,39,45,43,37,67,0,49,12,33,4,13,2,7.000000000000001,22,34,50,55.00000000000001,46,52,0,0,0,36,56.00000000000001,36,24,27,0,0,0,0,0,7.000000000000001,16,0,0,49,7.000000000000001,3,8,65,14.000000000000002,16,14.000000000000002,8,27
11-3031,681070,227023.33333333334,Financial Managers,3,Finance,Bachelor's degree,None,131710,Much faster than average,56.99999999999999,56.99999999999999,56.99999999999999,64,50,56.99999999999999,56.99999999999999,56.99999999999999,52,5,36,56.99999999999999,52,54,63,54,55.00000000000001,59,61,64,59,79,0,0,0,0,0,28.999999999999996,5,0,21,5,0,0,5,0,0,0,0,42,20,4,0,53,52,36,0,0,0,0,0,12,0,11,6,3,21,0,11,13,14.000000000000002,0,48,27,56.99999999999999,55.00000000000001,66,44,86,34,46,68,72,68,61,68,62,50,55.00000000000001,55.00000000000001,100,100,93,65,70,85,80,82,90,52,60,63,36,60,61,59,56.99999999999999,52,54,68,73,66,67,43,68,50,56.99999999999999,64,59,52,70,61,54,66,11,0,41,43,0,0,5,0,0,0,23,11,41,0,45,48,100,77,92,68,39,11,7.000000000000001,28.999999999999996,15,0,0,0,0,26,17,0,4,19,0,48,48,50,43,41,39,59,56.99999999999999,43,61,0,41,9,46,3,0,0,7.000000000000001,15,0,56.99999999999999,55.00000000000001,54,60,0,0,0,37,45,0,26,46,0,0,0,0,0,0,0,0,0,61,8,3,4,34,23,18,6,4,10
11-3031,681070,227023.33333333334,Investment Fund Managers,3,Business Management & Administration,Bachelor's degree,None,131710,Much faster than average,59,55.00000000000001,56.99999999999999,56.99999999999999,55.00000000000001,55.00000000000001,48,61,54,0,0,61,52,50,63,59,55.00000000000001,63,61,63,63,88,0,0,0,0,0,27,0,0,25,0,0,0,0,0,12,0,0,38,4,0,0,41,69,20,0,0,0,0,0,17,0,2,1,0,15,0,3,4,2,0,0,0,48,45,67,44,67,36,28.000000000000004,47,56.99999999999999,45,48,44,57.99999999999999,46,43,54,94,98,81,41,48,61,56.00000000000001,75,87,74,84,49,66,57.99999999999999,85,59,69,82,60,78,66,69,74,59,59,50,50,78,65,57.99999999999999,89,74,25,57.99999999999999,21,0,41,46,0,0,0,0,0,0,21,23,41,13,28.000000000000004,50,100,75,81,42,31,0,0,0,24,0,17,0,0,9,20,0,0,14.000000000000002,0,52,54,54,43,50,45,61,61,43,78,0,28.000000000000004,2,36,0,1,0,3,0,0,45,41,54,70,35,0,0,42,44,32,31,42,0,0,0,0,0,0,0,0,0,16,1,0,0,35,18,7.000000000000001,3,1,0
