code,employment,employment2,occupation,code.variants,career_cluster,entry_level_education,typical_on_the_job_training,annual_wage_2021,projected_growth_2020.2030,programming.l,operations_analysis.l,written_expression.l,equipment_maintenance.l,repairing.l,manual_dexterity.l,medicine_and_dentistry.l,exposed_to_disease_or_infections.l,physical_proximity.l,very_hot_or_cold_temperatures.l,in_a_enclosed_vehicle_or_equipment.l,in_an_open_vehicle_or_equipment.l,outdoors_exposed_to_weather.l,personnel_and_human_resources.l,monitoring_and_controlling_resources.l,staffing_organizational_units.l,contact_with_others.l,deal_with_unpleasant_or_angry_people.l,deal_with_external_customers.l,interpreting_the_meaning_of_information_for_others.l,processing_information.l,working_with_computers.l,economics_and_accounting.l,sales_and_marketing.l,selling_or_influencing_others.l,control_precision.l,multilimb_coordination.l,arm_hand_steadiness.l,administrative.l,electronic_mail.l,importance_of_repeating_same_tasks.l,building_and_construction.l,design.l,production_and_processing.l,basic.mathematics.l,number_facility.l,mathematical_reasoning.l,spend_time_using_your_hands_to_handle_control_or_feel_objects_tools_or_controls.l,pace_determined_by_speed_of_equipment.l,handling_and_moving_objectives.l,history_and_archeology.l,fine_arts.l,public_speaking.l,extent_flexibility.l,stamina.l,spend_time_bending_or_twisting_the_body.l,spend_time_kneeling_crouching_stooping_or_crawling.l,spend_time_making_repetitive_motions.l,spend_time_standing.l,spend_time_walking_and_running.l
11-1011,200480,100240,Chief Executives,2,Business Management & Administration,Bachelor's degree,None,179520,Decline,9,61,66,0,0,0,0,18,43,26,51,15,30,72,86,66,95,64,83,65,76,55.00000000000001,62,56.00000000000001,66,16,13,0,50,100,56.00000000000001,28.999999999999996,28.999999999999996,42,52,59,55.00000000000001,22,17,0,0,0,60,0,0,12,11,30,34,28.999999999999996
11-1011,200480,100240,Chief Sustainability Officers,2,Business Management & Administration,Bachelor's degree,None,179520,Decline,16,45,63,0,0,0,0,1,45,16,48,7.000000000000001,31,54,69,61,85,35,71,71,68,46,55.00000000000001,62,72,7.000000000000001,7.000000000000001,0,63,100,20,52,46,34,45,43,43,18,5,19,32,15,48,0,0,8,8,25,33,22
11-1021,2984920,2984920,General and Operations Managers,1,Business Management & Administration,Bachelor's degree,None,97970,Average,9,45,56.99999999999999,0,0,11,12,14.000000000000002,55.00000000000001,24,28.000000000000004,8,24,63,65,56.99999999999999,95,61,78,44,59,52,55.00000000000001,57.99999999999999,46,20,21,21,53,96,65,37,38,62,36,37,45,36,15,48,0,0,47,7.000000000000001,21,16,12,36,45,31
11-2011,22520,22520,Advertising and Promotions Managers,1,Marketing,Bachelor's degree,None,127150,Faster than average,11,45,56.99999999999999,0,0,5,7.000000000000001,1,46,12,32,3,37,44,44,33,92,48,80,41,59,56.00000000000001,42,80,64,0,0,7.000000000000001,62,100,43,0,42,38,46,45,45,27,0,35,16,33,39,0,0,8,9,38,28.000000000000004,24
11-2021,278690,278690,Marketing Managers,1,Marketing,Bachelor's degree,None,135030,Faster than average,18,52,59,0,0,0,0,2,47,13,32,2,10,51,55.00000000000001,31,90,44,81,43,56.00000000000001,45,51,86,78,0,0,0,59,100,45,0,51,42,45,50,52,33,1,0,16,19,59,0,0,6,7.000000000000001,43,27,24
11-2022,453800,453800,Sales Managers,1,Marketing,Bachelor's degree,None,127490,Average,13,41,56.99999999999999,0,0,9,0,3,48,18,57.99999999999999,5,28.999999999999996,56.00000000000001,65,59,96,56.00000000000001,82,51,60,51,53,88,84,13,9,7.000000000000001,61,100,40,16,20,44,46,52,54,13,2,16,0,9,50,0,0,6,8,15,39,25
11-3012,224620,224620,Administrative Services Managers,1,Business Management & Administration,Postsecondary nondegree award,Moderate-term on-the-job training,100170,Average,9,36,56.99999999999999,0,0,23,15,23,45,21,28.999999999999996,13,20,59,60,54,88,52,78,39,62,53,45,28.999999999999996,32,25,14.000000000000002,28.999999999999996,74,99,59,31,28.999999999999996,43,30,39,36,31,12,61,11,0,32,11,7.000000000000001,18,17,44,37,37
11-3021,485190,485190,Computer and Information Systems Managers,1,Business Management & Administration,Bachelor's degree,None,159010,Faster than average,37,48,59,9,11,28.999999999999996,0,1,41,6,7.000000000000001,2,4,57.99999999999999,64,64,90,49,51,61,74,87,31,25,53,28.999999999999996,5,28.999999999999996,53,100,72,0,43,20,45,45,43,49,7.000000000000001,34,0,0,27,0,0,7.000000000000001,8,65,14.000000000000002,16
11-3031,681070,227023.33333333334,Financial Managers,3,Finance,Bachelor's degree,None,131710,Much faster than average,5,36,59,0,0,5,0,4,53,6,21,0,13,44,34,46,93,65,80,36,52,68,64,52,66,5,0,0,45,100,68,0,0,17,48,59,56.99999999999999,41,7.000000000000001,0,0,0,46,0,0,8,4,34,23,18
11-3031,681070,227023.33333333334,Investment Fund Managers,3,Business Management & Administration,Bachelor's degree,None,131710,Much faster than average,0,0,63,0,0,0,12,0,41,1,15,0,4,44,36,28.000000000000004,81,41,56.00000000000001,66,82,59,78,57.99999999999999,57.99999999999999,0,0,0,28.000000000000004,100,42,0,0,20,52,61,61,28.000000000000004,3,0,35,0,42,0,0,1,0,35,18,7.000000000000001
