code,employment,employment2,occupation,code.variants,career_cluster,entry_level_education,typical_on_the_job_training,annual_wage_2021,projected_growth_2020.2030,programming.l,operations_analysis.l,written_expression.l,installation.l,equipment_selection.l,equipment_maintenance.l,repairing.l,finger_dexterity.l,manual_dexterity.l,wrist_finger_speed.l,repairing_and_maintaining_electronic_equipment.l,repairing_and_maintaining_mechanical_equipment.l,therapy_and_counseling.l,medicine_and_dentistry.l,biology.l,deal_with_physically_aggressive_people.l,exposed_to_disease_or_infections.l,physical_proximity.l,assisting_and_caring_for_others.l,spatial_orientation.l,sound_localization.l,glare_sensitivity.l,night_vision.l,peripheral_vision.l,transportation.l,exposed_to_whole_body_vibrations.l,extremely_bright_or_inadequate_lighting.l,very_hot_or_cold_temperatures.l,exposed_to_high_places.l,in_a_enclosed_vehicle_or_equipment.l,in_an_open_vehicle_or_equipment.l,indoors_not_environmentally_controlled.l,outdoors_exposed_to_weather.l,outdoors_under_cover.l,operating_vehicles_mechanized_devices_or_equipment.l,personnel_and_human_resources.l,monitoring_and_controlling_resources.l,staffing_organizational_units.l,telephone.l,contact_with_others.l,deal_with_unpleasant_or_angry_people.l,frequency_of_conflict_situations.l,deal_with_external_customers.l,work_with_work_group_or_team.l,interpreting_the_meaning_of_information_for_others.l,processing_information.l,working_with_computers.l,economics_and_accounting.l,customer_and_personal_service.l,sales_and_marketing.l,performing_for_or_working_directly_with_the_public.l,selling_or_influencing_others.l,explosive_strength.l,control_precision.l,multilimb_coordination.l,arm_hand_steadiness.l,reaction_time.l,administrative.l,computers_and_electronics.l,electronic_mail.l,importance_of_being_exact_or_accurate.l,importance_of_repeating_same_tasks.l,building_and_construction.l,engineering_and_technology.l,design.l,production_and_processing.l,basic.mathematics.l,number_facility.l,mathematical_reasoning.l,rate_control.l,spend_time_using_your_hands_to_handle_control_or_feel_objects_tools_or_controls.l,exposed_to_contaminants.l,exposed_to_hazardous_equipment.l,wear_common_protective_or_safety_equipment.l,pace_determined_by_speed_of_equipment.l,controlling_machines_and_processes.l,handling_and_moving_objectives.l,history_and_archeology.l,philosophy_and_theology.l,fine_arts.l,communications_and_media.l,geography.l,sociology_and_anthropology.l,public_speaking.l,gross_body_equilibrium.l,extent_flexibility.l,gross_body_coordination.l,static_strength.l,dynamic_strength.l,trunk_strength.l,stamina.l,speed_of_limb_movement.l,spend_time_bending_or_twisting_the_body.l,spend_time_keeping_or_regaining_balance.l,spend_time_kneeling_crouching_stooping_or_crawling.l,spend_time_making_repetitive_motions.l,spend_time_standing.l,spend_time_walking_and_running.l,exposed_to_minor_burns_cuts_bites_or_stings.l,performing_general_physical_activities.l
11-1011,200480,100240,Chief Executives,2,Business Management & Administration,Bachelor's degree,None,179520,Decline,9,61,66,0,0,0,0,28.999999999999996,0,0,0,0,36,0,0,22,18,43,34,0,0,0,0,0,27,15,22,26,12,51,15,32,30,16,0,72,86,66,100,95,64,77,83,94,65,76,55.00000000000001,62,79,56.00000000000001,48,66,0,16,13,0,0,50,36,100,79,56.00000000000001,28.999999999999996,23,28.999999999999996,42,52,59,55.00000000000001,0,22,33,28.999999999999996,25,17,0,0,0,26,0,48,18,43,60,0,0,0,0,0,0,0,0,12,9,11,30,34,28.999999999999996,12,0
11-1011,200480,100240,Chief Sustainability Officers,2,Business Management & Administration,Bachelor's degree,None,179520,Decline,16,45,63,0,0,0,0,20,0,0,13,0,25,0,51,5,1,45,38,0,0,0,0,0,48,5,13,16,12,48,7.000000000000001,28.999999999999996,31,25,16,54,69,61,94,85,35,51,71,95,71,68,46,55.00000000000001,63,62,63,72,0,7.000000000000001,7.000000000000001,0,0,63,51,100,63,20,52,48,46,34,45,43,43,0,18,15,10,22,5,14.000000000000002,19,32,39,15,53,59,56.99999999999999,48,0,0,0,0,0,7.000000000000001,0,0,8,6,8,25,33,22,12,24
11-1021,2984920,2984920,General and Operations Managers,1,Business Management & Administration,Bachelor's degree,None,97970,Average,9,45,56.99999999999999,0,0,0,0,0,11,9,24,30,21,12,13,11,14.000000000000002,55.00000000000001,42,9,9,5,7.000000000000001,13,33,1,9,24,21,28.000000000000004,8,33,24,10,28.999999999999996,63,65,56.99999999999999,98,95,61,68,78,95,44,59,52,55.00000000000001,72,57.99999999999999,59,46,11,20,21,21,25,53,56.99999999999999,96,75,65,37,33,38,62,36,37,45,16,36,33,42,46,15,35,48,0,0,0,38,24,19,47,9,7.000000000000001,18,25,11,30,21,9,16,7.000000000000001,12,36,45,31,19,39
11-2011,22520,22520,Advertising and Promotions Managers,1,Marketing,Bachelor's degree,None,127150,Faster than average,11,45,56.99999999999999,0,0,0,0,16,5,11,0,0,20,7.000000000000001,0,4,1,46,28.999999999999996,0,0,0,0,0,23,1,12,12,4,32,3,17,37,25,15,44,44,33,95,92,48,54,80,87,41,59,56.00000000000001,42,77,80,54,64,0,0,0,7.000000000000001,0,62,60,100,83,43,0,22,42,38,46,45,45,0,27,11,5,6,0,20,35,16,30,33,74,30,40,39,0,0,0,0,0,13,0,0,8,7.000000000000001,9,38,28.000000000000004,24,7.000000000000001,22
11-2021,278690,278690,Marketing Managers,1,Marketing,Bachelor's degree,None,135030,Faster than average,18,52,59,0,0,0,0,18,0,11,0,0,16,0,0,4,2,47,32,0,0,0,0,0,22,1,9,13,2,32,2,22,10,6,13,51,55.00000000000001,31,98,90,44,55.00000000000001,81,92,43,56.00000000000001,45,51,69,86,44,78,0,0,0,0,0,59,57.99999999999999,100,70,45,0,35,51,42,45,50,52,0,33,14.000000000000002,12,8,1,0,0,16,16,19,60,36,35,59,0,0,0,0,0,13,0,0,6,5,7.000000000000001,43,27,24,2,15
11-2022,453800,453800,Sales Managers,1,Marketing,Bachelor's degree,None,127490,Average,13,41,56.99999999999999,0,0,0,0,18,9,7.000000000000001,13,12,15,0,0,8,3,48,37,7.000000000000001,0,0,0,0,30,1,13,18,2,57.99999999999999,5,23,28.999999999999996,24,20,56.00000000000001,65,59,100,96,56.00000000000001,56.00000000000001,82,84,51,60,51,53,77,88,65,84,0,13,9,7.000000000000001,0,61,56.99999999999999,100,68,40,16,28.999999999999996,20,44,46,52,54,0,13,14.000000000000002,11,11,2,11,16,0,17,9,43,34,24,50,0,0,0,0,0,20,0,0,6,7.000000000000001,8,15,39,25,6,20
11-3012,224620,224620,Administrative Services Managers,1,Business Management & Administration,Postsecondary nondegree award,Moderate-term on-the-job training,100170,Average,9,36,56.99999999999999,0,0,0,0,30,23,0,35,36,20,15,0,19,23,45,50,7.000000000000001,11,9,9,9,20,1,15,21,11,28.999999999999996,13,23,20,17,28.000000000000004,59,60,54,95,88,52,55.00000000000001,78,89,39,62,53,45,74,28.999999999999996,44,32,11,25,14.000000000000002,28.999999999999996,13,74,59,99,79,59,31,23,28.999999999999996,43,30,39,36,13,31,28.000000000000004,12,21,12,40,61,11,19,0,31,16,21,32,9,11,9,14.000000000000002,11,18,7.000000000000001,0,18,8,17,44,37,37,19,50
11-3021,485190,485190,Computer and Information Systems Managers,1,Business Management & Administration,Bachelor's degree,None,159010,Faster than average,37,48,59,0,28.999999999999996,9,11,28.999999999999996,28.999999999999996,20,25,0,0,0,0,2,1,41,33,0,0,0,0,0,0,0,8,6,7.000000000000001,7.000000000000001,2,17,4,3,15,57.99999999999999,64,64,87,90,49,57.99999999999999,51,94,61,74,87,31,67,25,22,53,0,28.999999999999996,5,28.999999999999996,0,53,88,100,76,72,0,56.99999999999999,43,20,45,45,43,0,49,12,4,13,7.000000000000001,22,34,0,0,0,36,36,24,27,0,0,0,0,7.000000000000001,16,0,0,7.000000000000001,3,8,65,14.000000000000002,16,8,27
11-3031,681070,227023.33333333334,Financial Managers,3,Finance,Bachelor's degree,None,131710,Much faster than average,5,36,59,0,0,0,0,28.999999999999996,5,0,0,0,0,0,0,20,4,53,36,0,0,0,0,0,12,0,11,6,3,21,0,11,13,14.000000000000002,0,44,34,46,100,93,65,70,80,82,36,52,68,64,59,52,54,66,0,5,0,0,0,45,48,100,92,68,0,0,0,17,48,59,56.99999999999999,0,41,9,3,0,7.000000000000001,15,0,0,0,0,37,0,26,46,0,0,0,0,0,0,0,0,8,3,4,34,23,18,4,10
11-3031,681070,227023.33333333334,Investment Fund Managers,3,Business Management & Administration,Bachelor's degree,None,131710,Much faster than average,0,0,63,0,0,0,0,27,0,0,0,0,0,12,0,4,0,41,20,0,0,0,0,0,17,0,2,1,0,15,0,3,4,2,0,44,36,28.000000000000004,98,81,41,48,56.00000000000001,75,66,82,59,78,65,57.99999999999999,25,57.99999999999999,0,0,0,0,0,28.000000000000004,50,100,81,42,0,17,0,20,52,61,61,0,28.000000000000004,2,0,1,3,0,0,35,0,0,42,32,31,42,0,0,0,0,0,0,0,0,1,0,0,35,18,7.000000000000001,1,0
11-3031,681070,227023.33333333334,Treasurers and Controllers,3,Finance,Bachelor's degree,None,131710,Much faster than average,14.000000000000002,45,59,0,0,0,0,28.999999999999996,0,0,0,0,0,0,0,3,2,38,37,0,0,0,0,0,11,0,1,3,1,7.000000000000001,0,3,1,1,0,59,71,64,97,88,36,53,51,86,68,78,59,86,49,35,24,55.00000000000001,0,0,0,0,0,50,54,100,91,67,0,14.000000000000002,0,23,61,63,61,0,21,1,0,0,3,10,11,0,14.000000000000002,0,32,14.000000000000002,18,37,0,0,0,0,0,13,0,0,6,4,3,44,18,11,1,7.000000000000001
11-3051,192270,32045,Biofuels Production Managers,6,Business Management & Administration,Bachelor's degree,None,103150,Average,23,0,54,0,0,0,0,27,28.999999999999996,30,28.999999999999996,40,15,9,47,8,10,53,44,0,0,14.000000000000002,0,0,47,18,46,77,61,45,42,84,76,63,32,56.99999999999999,62,55.00000000000001,97,91,48,61,66,94,55.00000000000001,70,50,43,57.99999999999999,40,26,39,11,32,27,37,45,61,56.99999999999999,100,82,63,56.00000000000001,68,57.99999999999999,80,46,46,48,34,38,72,54,91,65,53,40,6,0,0,27,31,24,39,18,21,14.000000000000002,21,14.000000000000002,30,23,0,21,14.000000000000002,23,27,41,35,48,49
11-3051,192270,32045,Biomass Power Plant Managers,6,Business Management & Administration,Bachelor's degree,None,103150,Average,13,30,56.99999999999999,0,28.999999999999996,39,39,37,32,0,57.99999999999999,61,41,14.000000000000002,23,14.000000000000002,8,65,38,14.000000000000002,7.000000000000001,16,0,7.000000000000001,42,7.000000000000001,59,67,69,39,21,94,66,48,38,64,70,59,96,86,40,49,65,92,42,76,55.00000000000001,54,48,0,0,34,9,41,30,39,32,61,57.99999999999999,98,83,73,59,69,48,71,46,45,45,27,35,77,63,95,69,64,61,0,22,0,35,20,20,50,23,23,20,23,9,32,20,0,35,17,23,32,37,38,37,53
11-3051,192270,32045,Geothermal Production Managers,6,Business Management & Administration,Bachelor's degree,None,103150,Average,18,0,54,0,37,0,43,39,30,0,38,55.00000000000001,39,24,40,10,4,38,52,25,16,13,11,18,33,7.000000000000001,37,61,43,93,16,86,77,46,40,62,68,56.99999999999999,100,87,39,61,64,92,49,70,55.00000000000001,43,44,19,26,47,0,37,30,32,34,66,60,100,82,63,65,69,56.00000000000001,66,54,50,54,21,18,61,57.99999999999999,94,43,34,42,10,40,0,36,35,32,53,23,0,0,0,0,28.999999999999996,0,16,18,9,13,34,40,30,33,48
11-3051,192270,32045,Hydroelectric Production Managers,6,Business Management & Administration,Bachelor's degree,None,103150,Average,20,0,59,0,27,37,39,36,36,34,50,70,26,17,17,7.000000000000001,8,50,44,28.999999999999996,20,25,18,18,23,15,44,61,40,73,23,64,63,46,40,59,69,59,100,85,42,53,65,86,55.00000000000001,63,46,38,43,18,47,34,0,37,25,39,39,54,62,100,77,65,60,65,55.00000000000001,62,50,48,48,27,37,48,48,93,34,55.00000000000001,44,15,19,0,37,45,26,43,18,25,0,0,14.000000000000002,32,0,0,27,13,24,38,31,33,36,43
11-3051,192270,32045,Industrial Production Managers,6,Business Management & Administration,Bachelor's degree,None,103150,Average,11,41,56.99999999999999,0,28.999999999999996,20,23,36,25,27,41,47,18,11,12,11,6,56.00000000000001,37,13,9,0,0,5,33,11,30,43,26,35,22,71,33,24,33,56.00000000000001,54,46,89,92,50,55.00000000000001,47,88,42,57.99999999999999,56.99999999999999,33,55.00000000000001,32,31,35,9,32,25,32,32,54,52,97,87,54,22,56.00000000000001,44,77,54,46,52,30,43,62,59,90,56.00000000000001,69,70,0,18,0,30,23,21,45,7.000000000000001,21,21,21,14.000000000000002,34,23,16,18,14.000000000000002,14.000000000000002,23,62,51,39,46
11-3051,192270,32045,Quality Control Systems Managers,6,Business Management & Administration,Bachelor's degree,None,103150,Average,21,0,55.00000000000001,0,27,34,32,43,39,20,45,49,17,17,54,7.000000000000001,16,48,26,0,0,0,0,0,25,0,28.999999999999996,37,23,28.999999999999996,16,85,83,53,22,61,42,28.999999999999996,100,99,60,73,82,99,64,69,52,28.000000000000004,59,21,28.999999999999996,24,0,41,28.999999999999996,39,18,68,57.99999999999999,100,93,73,21,44,28.000000000000004,54,48,50,48,16,59,57.99999999999999,19,93,17,42,48,0,0,0,40,0,14.000000000000002,50,13,16,13,16,16,25,18,0,25,0,19,42,37,25,24,41
11-3061,69310,69310,Purchasing Managers,1,Business Management & Administration,Bachelor's degree,None,127150,Average,16,39,59,0,0,0,0,14.000000000000002,0,0,0,0,0,0,21,10,1,41,39,0,0,0,0,0,40,1,12,13,4,33,4,19,12,9,16,54,61,64,99,89,55.00000000000001,62,69,88,49,66,52,56.00000000000001,65,48,36,55.00000000000001,0,0,0,0,0,68,59,100,82,63,26,38,33,50,48,48,50,0,24,10,6,18,11,23,24,0,13,0,39,34,17,45,0,0,0,0,0,11,0,0,11,1,6,35,28.000000000000004,23,1,25
11-3071,144640,72320,Supply Chain Managers,2,Business Management & Administration,High school diploma or equivalent,None,98230,Average,13,34,56.99999999999999,0,0,0,0,20,0,0,16,16,26,0,0,8,3,51,35,0,0,0,0,0,73,5,24,30,13,35,13,51,28.000000000000004,20,22,64,74,67,100,89,59,70,68,90,56.99999999999999,60,57.99999999999999,60,72,52,40,61,0,0,0,0,0,34,61,100,75,43,24,40,35,71,43,45,50,0,20,16,7.000000000000001,49,25,27,35,0,0,0,37,53,14.000000000000002,44,0,0,0,0,0,11,0,0,8,3,4,30,33,24,4,26
