occupation,entry_level_education,annual_wage_2021,judgment_and_decision.l,active_learning.l,complex_problem_solving.l,critical_thinking.l,equipment_selection.l,troubleshooting.l,repairing.l,equipment_maintenance.l,glare_sensitivity.l,peripheral_vision.l,sound_localization.l,arm_hand_steadiness.l,finger_dexterity.l,control_precision.l,inductive_reasoning.l,deductive_reasoning.l,information_ordering.l,therapy_and_counseling.l,medicine_and_dentistry.l,psychology.l,biology.l,physics.l,engineering_and_technology.l,mechanical.l,building_and_construction.l,administration_and_management.l,economics_and_accounting.l,personnel_and_human_resources.l,administrative.l,history_and_archeology.l,fine_arts.l,philosophy_and_theology.l,sociology_and_anthropology.l
Accountants and Auditors,Bachelor's degree,77250,0.54,0.5,0.51,0.55,0,0,0,0,0,0,0,0,0.21,0,0.59,0.62,0.55,0,0,0.24,0,0,0,0,0,0.58,0.83,0.43,0.64,0,0,0,0
Actors,"Some college, no degree",48838,0.43,0.37,0.37,0.43,0,0,0,0,0.21,0,0,0.25,0.27,0,0.43,0.43,0.43,0.33,0,0.55,0,0,0,0,0.16,0.32,0,0.26,0.3,0.42,0.84,0.43,0.62
Actuaries,Bachelor's degree,105900,0.68,0.59,0.66,0.68,0,0,0,0,0,0,0,0,0.18,0,0.66,0.68,0.61,0.11,0.2,0.35,0,0,0.16,0,0,0.67,0.75,0.53,0.41,0,0,0,0.28
Acupuncturists,Doctoral or professional degree,60570,0.52,0.46,0.45,0.55,0.11,0.11,0,0,0,0,0,0.48,0.5,0.3,0.57,0.57,0.45,0.71,0.68,0.79,0.55,0,0.11,0,0,0.48,0.34,0.44,0.55,0,0,0.57,0.43
Acute Care Nurses,Bachelor's degree,77600,0.57,0.55,0.54,0.57,0.14,0.23,0,0,0,0,0,0.14,0.36,0.13,0.57,0.57,0.57,0.66,0.69,0.82,0.5,0.25,0.17,0.19,0,0.42,0.16,0.35,0.44,0.12,0,0.48,0.52
Adapted Physical Education Specialists,Bachelor's degree,61720,0.55,0.55,0.48,0.55,0,0.13,0,0,0,0,0,0.43,0.39,0.36,0.48,0.55,0.54,0.5,0.33,0.68,0.29,0.19,0.25,0.21,0,0.35,0.12,0.2,0.44,0.18,0.2,0.35,0.41
Adhesive Bonding Machine Operators and Tenders,High school diploma or equivalent,37630,0.36,0.34,0.36,0.39,0.3,0.43,0.41,0.45,0.18,0.21,0.16,0.43,0.45,0.48,0.39,0.39,0.43,0,0,0.31,0,0.21,0.33,0.58,0.15,0.35,0.18,0.31,0.21,0,0,0,0.15
"Administrative Law Judges, Adjudicators, and Hearing Officers",Doctoral or professional degree,102550,0.7,0.59,0.57,0.73,0,0,0,0,0,0,0,0.11,0.21,0.09,0.7,0.68,0.54,0.4,0.37,0.36,0,0,0,0.07,0,0.49,0.12,0.4,0.6,0,0,0.19,0.19
Administrative Services Managers,Postsecondary nondegree award,100170,0.45,0.48,0.45,0.55,0,0.18,0,0,0.09,0.09,0.11,0.29,0.3,0.25,0.48,0.55,0.45,0.2,0.15,0.28,0,0.16,0.23,0.32,0.31,0.65,0.45,0.59,0.74,0.11,0,0.19,0.21
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Bachelor's degree,59720,0.43,0.46,0.43,0.5,0,0,0,0,0,0,0,0,0.2,0,0.52,0.52,0.5,0.34,0,0.44,0.15,0,0,0,0,0.43,0,0.19,0.5,0.43,0.13,0.38,0.47
