pk_occupation_id,pk_item_id,item_score
1,1,0.57
1,2,0.57
1,3,0.58
1,4,0.23
1,5,0.55
1,6,0.52
1,7,0.5
1,8,0.55
1,9,0.43
1,10,0.51
1,11,0.51
1,12,0.37
1,13,0.25
1,14,0.44
1,15,0.48
1,16,0.46
1,17,0.46
1,18,0.44
1,19,0.47
1,20,0.45
1,21,0.45
1,22,0.54
1,23,0.52
1,24,0.49
1,25,0
1,26,0
1,27,0.13
1,28,0
1,29,0
1,30,0.14
1,31,0
1,32,0.21
1,33,0
1,34,0
1,35,0.38
1,36,0.33
1,37,0.43
1,38,0.56
1,39,0.47
1,40,0.46
1,41,0.62
1,42,0.59
1,43,0.54
1,44,0.55
1,45,0.42
1,46,0.47
1,47,0.41
1,48,0.6
1,49,0.58
1,50,0
1,51,0.34
1,52,0.57
1,53,0.62
1,54,0.59
1,55,0.61
1,56,0.39
1,57,0
1,58,0
1,59,0
1,60,0
1,61,0
1,62,0
1,63,0
1,64,0
1,65,0
1,66,0
1,67,0
1,68,0
1,69,0
1,70,0
1,71,0.21
1,72,0
1,73,0
1,74,0
1,75,0
1,76,0.47
1,77,0.2
1,78,0.48
1,79,0
1,80,0.24
1,81,0.37
1,82,0
1,83,0
1,84,0.1
1,85,0.27
1,86,0
1,87,0.59
1,88,0.61
1,89,0
1,90,0
1,91,0
1,92,0
1,93,0.58
1,94,0.83
1,95,0.63
1,96,0.43
1,97,0.64
1,98,0
1,99,0.34
1,100,0.13
1,101,0
1,102,0
1,103,0
1,104,0
1,105,0.57
1,106,0.49
1,107,0
1,108,0
1,109,0
1,110,0.51
1,111,0
1,112,0.16
1,113,0
1,114,0
1,115,0.7
1,116,0
1,117,0
1,118,0
1,119,0.24
1,120,0.13
2,1,0.52
2,2,0
2,3,0.55
2,4,0.07
2,5,0.57
2,6,0.48
2,7,0.37
2,8,0.43
2,9,0.36
2,10,0.43
2,11,0.37
2,12,0
2,13,0
2,14,0.34
2,15,0.43
2,16,0.43
2,17,0.37
2,18,0.37
2,19,0.39
2,20,0.32
2,21,0.54
2,22,0.43
2,23,0.23
2,24,0.23
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
2,30,0
2,31,0
2,32,0
2,33,0
2,34,0
2,35,0.2
2,36,0.41
2,37,0.45
2,38,0.45
2,39,0.48
2,40,0.48
2,41,0.43
2,42,0.43
2,43,0.43
2,44,0.43
2,45,0.27
2,46,0.34
2,47,0.32
2,48,0
2,49,0
2,50,0
2,51,0.36
2,52,0.48
2,53,0.57
2,54,0.59
2,55,0.5
2,56,0.57
2,57,0
2,58,0.29
2,59,0.27
2,60,0.36
2,61,0.13
2,62,0.27
2,63,0.27
2,64,0.34
2,65,0.25
2,66,0
2,67,0
2,68,0.29
2,69,0
2,70,0.25
2,71,0.27
2,72,0.25
2,73,0
2,74,0
2,75,0
2,76,0.68
2,77,0.27
2,78,0.41
2,79,0
2,80,0.25
2,81,0.37
2,82,0.21
2,83,0
2,84,0
2,85,0.27
2,86,0
2,87,0.5
2,88,0.67
2,89,0.42
2,90,0.31
2,91,0.43
2,92,0.84
2,93,0.32
2,94,0
2,95,0.43
2,96,0.26
2,97,0.3
2,98,0.45
2,99,0.66
2,100,0.17
2,101,0.16
2,102,0
2,103,0
2,104,0.29
2,105,0.3
2,106,0.44
2,107,0.33
2,108,0
2,109,0.23
2,110,0.15
2,111,0
2,112,0
2,113,0.24
2,114,0
2,115,0.2
2,116,0
2,117,0.62
2,118,0
2,119,0.55
2,120,0.17
3,1,0.59
3,2,0.7
3,3,0.66
3,4,0.29
3,5,0.57
3,6,0.57
3,7,0.59
3,8,0.68
3,9,0.5
3,10,0.52
3,11,0.66
3,12,0.48
3,13,0.32
3,14,0.41
3,15,0.5
3,16,0.43
3,17,0.5
3,18,0.45
3,19,0.52
3,20,0.45
3,21,0.41
3,22,0.68
3,23,0.64
3,24,0.64
3,25,0
3,26,0.25
3,27,0.14
3,28,0
3,29,0
3,30,0.39
3,31,0
3,32,0.18
3,33,0
3,34,0
3,35,0.48
3,36,0.34
3,37,0.52
3,38,0.63
3,39,0.57
3,40,0.5
3,41,0.68
3,42,0.66
3,43,0.57
3,44,0.61
3,45,0.43
3,46,0.48
3,47,0.41
3,48,0.71
3,49,0.71
3,50,0
3,51,0.41
3,52,0.57
3,53,0.68
3,54,0.64
3,55,0.66
3,56,0.37
3,57,0
3,58,0
3,59,0
3,60,0
3,61,0
3,62,0
3,63,0
3,64,0.09
3,65,0
3,66,0
3,67,0
3,68,0
3,69,0
3,70,0
3,71,0.18
3,72,0
3,73,0
3,74,0
3,75,0
3,76,0.54
3,77,0.23
3,78,0.55
3,79,0
3,80,0.21
3,81,0.41
3,82,0
3,83,0
3,84,0.11
3,85,0.25
3,86,0
3,87,0.57
3,88,0.63
3,89,0
3,90,0.17
3,91,0
3,92,0
3,93,0.67
3,94,0.75
3,95,0.44
3,96,0.53
3,97,0.41
3,98,0.48
3,99,0.32
3,100,0.08
3,101,0
3,102,0.16
3,103,0
3,104,0.22
3,105,0.65
3,106,0.51
3,107,0.11
3,108,0.2
3,109,0.18
3,110,0.54
3,111,0
3,112,0.2
3,113,0.23
3,114,0
3,115,0.95
3,116,0
3,117,0.28
3,118,0
3,119,0.35
3,120,0.13
4,1,0.57
4,2,0.29
4,3,0.57
4,4,0.3
4,5,0.55
4,6,0.5
4,7,0.46
4,8,0.55
4,9,0.41
4,10,0.5
4,11,0.45
4,12,0.13
4,13,0.14
4,14,0.29
4,15,0.41
4,16,0.41
4,17,0.41
4,18,0.29
4,19,0.39
4,20,0.5
4,21,0.55
4,22,0.52
4,23,0.41
4,24,0.41
4,25,0
4,26,0.29
4,27,0.09
4,28,0.11
4,29,0
4,30,0
4,31,0.11
4,32,0.21
4,33,0
4,34,0.13
4,35,0.16
4,36,0.34
4,37,0.45
4,38,0.59
4,39,0.46
4,40,0.45
4,41,0.57
4,42,0.57
4,43,0.46
4,44,0.45
4,45,0.39
4,46,0.45
4,47,0.3
4,48,0.3
4,49,0.29
4,50,0
4,51,0.41
4,52,0.54
4,53,0.59
4,54,0.59
4,55,0.57
4,56,0.25
4,57,0
4,58,0.13
4,59,0.29
4,60,0.09
4,61,0
4,62,0.23
4,63,0.25
4,64,0.34
4,65,0.25
4,66,0
4,67,0.3
4,68,0.32
4,69,0
4,70,0.48
4,71,0.5
4,72,0.43
4,73,0
4,74,0.11
4,75,0.09
4,76,0.43
4,77,0.25
4,78,0.43
4,79,0
4,80,0.25
4,81,0.36
4,82,0
4,83,0
4,84,0.23
4,85,0.25
4,86,0
4,87,0.55
4,88,0.54
4,89,0
4,90,0.26
4,91,0.57
4,92,0
4,93,0.48
4,94,0.34
4,95,0.74
4,96,0.44
4,97,0.55
4,98,0.62
4,99,0.36
4,100,0.15
4,101,0
4,102,0.11
4,103,0
4,104,0
4,105,0.45
4,106,0.7
4,107,0.71
4,108,0.68
4,109,0.34
4,110,0.36
4,111,0
4,112,0.29
4,113,0.24
4,114,0.25
4,115,0.29
4,116,0
4,117,0.43
4,118,0.55
4,119,0.79
4,120,0.14
5,1,0.55
5,2,0.41
5,3,0.64
5,4,0.45
5,5,0.57
5,6,0.52
5,7,0.55
5,8,0.57
5,9,0.52
5,10,0.59
5,11,0.54
5,12,0.23
5,13,0.27
5,14,0.43
5,15,0.46
5,16,0.55
5,17,0.57
5,18,0.45
5,19,0.45
5,20,0.55
5,21,0.66
5,22,0.57
5,23,0.45
5,24,0.46
5,25,0
5,26,0.36
5,27,0.16
5,28,0.14
5,29,0
5,30,0.11
5,31,0.23
5,32,0.43
5,33,0
5,34,0.39
5,35,0.37
5,36,0.43
5,37,0.45
5,38,0.68
5,39,0.43
5,40,0.43
5,41,0.57
5,42,0.57
5,43,0.48
5,44,0.57
5,45,0.43
5,46,0.43
5,47,0.43
5,48,0.41
5,49,0.41
5,50,0
5,51,0.41
5,52,0.57
5,53,0.57
5,54,0.59
5,55,0.57
5,56,0.41
5,57,0
5,58,0.27
5,59,0.09
5,60,0.29
5,61,0.27
5,62,0.41
5,63,0.11
5,64,0.13
5,65,0.25
5,66,0.29
5,67,0.13
5,68,0.13
5,69,0.05
5,70,0.14
5,71,0.36
5,72,0.14
5,73,0
5,74,0.05
5,75,0.29
5,76,0.52
5,77,0.32
5,78,0.54
5,79,0
5,80,0.32
5,81,0.41
5,82,0
5,83,0
5,84,0.25
5,85,0.43
5,86,0
5,87,0.57
5,88,0.64
5,89,0.12
5,90,0.28
5,91,0.48
5,92,0
5,93,0.42
5,94,0.16
5,95,0.8
5,96,0.35
5,97,0.44
5,98,0.23
5,99,0.32
5,100,0.18
5,101,0
5,102,0.17
5,103,0.19
5,104,0
5,105,0.43
5,106,0.67
5,107,0.66
5,108,0.69
5,109,0.43
5,110,0.38
5,111,0
5,112,0.17
5,113,0.14
5,114,0.41
5,115,0.53
5,116,0.25
5,117,0.52
5,118,0.5
5,119,0.82
5,120,0.13
6,1,0.59
6,2,0.29
6,3,0.57
6,4,0.13
6,5,0.57
6,6,0.55
