pk_occupation_id,pk_item_id,item_score
1,137,1
1,138,0.93
1,139,0.72
1,140,0.25
1,141,0.96
1,142,0.89
1,143,0.01
1,144,0.36
1,145,0.44
1,146,0.65
1,147,0.33
1,148,0.62
1,149,0.69
1,150,0.8
1,151,0.05
1,152,0.01
1,153,0
1,154,0.02
1,155,0.4
1,156,0.88
1,157,0.2
1,158,0.23
1,159,0.14
1,160,0.05
1,161,0.05
1,162,0
1,163,0.07
1,164,0.4
1,165,0.07
1,166,0.01
1,167,0.02
1,168,0.02
1,169,0.03
1,170,0.02
1,171,0
1,172,0.05
1,173,0.01
1,174,0.2
1,175,0.01
1,176,0.91
1,177,0.1
1,178,0.07
1,179,0.06
1,180,0.46
1,181,0.6
1,182,0.44
1,183,0.76
1,184,0.74
1,185,0.83
1,186,0.72
1,187,0.02
1,188,0.8
1,189,0.14
1,190,0.51
1,191,0.93
1,192,0.71
1,193,0.79
2,137,0.92
2,138,0.85
2,139,0.38
2,140,0.89
2,141,0.67
2,142,0.93
2,143,0.12
2,144,0.42
2,145,0.43
2,146,0.5
2,147,0.48
2,148,0.54
2,149,0.66
2,150,1
2,151,0.4
2,152,0.18
2,153,0.2
2,154,0.15
2,155,0.35
2,156,0.29
2,157,0.71
2,158,0.27
2,159,0.39
2,160,0.22
2,161,0.32
2,162,0.04
2,163,0.56
2,164,0.31
2,165,0.13
2,166,0.05
2,167,0.06
2,168,0.17
2,169,0.29
2,170,0.07
2,171,0
2,172,0.08
2,173,0.04
2,174,0.26
2,175,0.11
2,176,0.89
2,177,0.23
2,178,0.19
2,179,0.16
2,180,0.95
2,181,0.81
2,182,0.24
2,183,0.61
2,184,0.66
2,185,0.57
2,186,0.09
2,187,0.06
2,188,0.9
2,189,0.55
2,190,0.09
2,191,0.79
2,192,0.4
2,193,0.47
3,137,1
3,138,0.9
3,139,0.54
3,140,0.33
3,141,0.91
3,142,0.66
3,143,0.01
3,144,0.23
3,145,0.38
3,146,0.55
3,147,0.1
3,148,0.53
3,149,0.42
3,150,0.74
3,151,0.03
3,152,0
3,153,0
3,154,0.02
3,155,0.35
3,156,0.92
3,157,0.17
3,158,0.21
3,159,0.07
3,160,0.02
3,161,0
3,162,0
3,163,0.01
3,164,0.13
3,165,0.01
3,166,0
3,167,0
3,168,0
3,169,0
3,170,0.01
3,171,0
3,172,0
3,173,0
3,174,0.06
3,175,0
3,176,0.94
