pk_occupation_id,employment,wage
1,1402420,77250
2,54160,48838
3,25010,105900
4,7800,60570
5,3072700,77600
6,42780,61720
7,11320,37630
8,12490,102550
9,236570,100170
10,36490,59720
11,3072700,77600
12,106560,52340
13,22010,127150
14,9750,73580
15,61580,122270
16,13130,78410
17,1500,82640
18,28830,36360
19,14000,45140
20,8240,95910
21,13140,40430
22,21250,129750
23,7950,53540
24,134070,65380
25,32140,49480
26,14760,47880
27,89580,202180
28,305260,208000
29,9910,29120
30,324580,24500
31,140910,121530
32,37430,208000
33,1270,40090
34,256670,28600
35,11490,39160
36,2520,65090
37,17710,31280
38,7350,61910
39,4930,97340
40,76100,61340
41,7780,49410
42,107490,80180
43,105960,60340
44,197180,152350
45,6420,95160
46,7230,60050
47,9340,78910
48,54470,100890
49,16920,59500
50,97830,75940
51,2160,128160
52,11930,77300
53,29720,48420
54,9900,94570
55,11150,98070
56,56110,48820
57,13940,78950
58,22200,44790
59,138760,47270
60,39610,60460
61,277560,95300
62,17370,37920
63,664070,46880
64,99600,29330
65,24420,79770
66,20200,69280
67,26520,29120
68,16470,48320
69,205300,29750
70,12690,29970
71,3325050,25100
72,613070,26350
73,13760,34690
74,202840,37700
75,441980,38330
76,32500,102270
77,19210,97410
78,15370,50250
79,211710,103150
80,197180,152350
81,55300,82530
82,3840,62460
83,49920,81440
84,73710,48140
85,55300,82530
86,31590,80850
87,211710,103150
88,30780,95570
89,13570,64290
90,1550750,45560
91,55530,59340
92,3690,45390
93,26820,37630
94,33020,44740
95,42700,54000
96,543290,124650
97,48430,79940
98,141530,48620
99,271720,48690
100,1081230,74670
101,159630,100910
102,78410,94360
103,129400,36050
104,439000,63470
105,95980,37540
106,22970,49230
107,2120,38200
108,34940,81640
109,55750,60570
110,11110,61820
111,103100,59840
112,88280,61820
113,93480,46910
114,689770,48260
115,17400,46640
116,13270,68900
117,3296040,27260
118,196730,47340
119,160190,50160
120,20380,105550
121,115370,48090
122,18710,70200
123,56030,48990
124,20650,79410
125,83940,79430
126,199240,179520
127,199240,179520
128,344770,49150
129,459460,27490
130,37740,75000
131,5400,42700
132,62350,58320
133,307570,88050
134,285270,65080
135,359530,29280
136,13200,35090
137,53140,49720
138,77270,76530
139,159630,100910
140,3072700,77600
141,82570,137900
142,62880,82510
143,218970,38970
144,152120,39130
145,10860,38360
146,35790,39040
147,3860,60360
148,48750,99640
149,30450,77030
150,27350,77560
151,61300,46590
152,16850,127530
153,93550,64120
154,543290,124650
155,359640,71650
156,74640,128170
157,173920,120520
158,168920,62760
159,179360,46640
160,28120,60780
161,132740,93000
162,33870,77910
163,505210,99270
164,416320,95270
165,696830,49770
166,33780,131490
167,533220,159010
168,81440,40970
169,37600,35210
170,22880,63750
171,1012780,37770
172,303220,98890
173,128950,61640
174,13500,60300
175,46410,62760
176,27780,36420
177,725590,24180
178,417780,29910
179,610,42920
180,1321480,30010
181,133290,28560
182,6420,40390
183,359640,71650
184,363250,47920
185,4970,37920
186,225310,65170
187,5730,47850
188,370770,31330
189,75800,33050
190,14240,60380
191,159760,44610
192,4760,35930
193,45210,62240
194,71960,77440
195,16290,44710
196,29090,47580
197,13900,64600
198,3072700,77600
199,91270,31450
200,27320,38760
201,11620,60110
202,2879840,36920
203,359640,71650
204,655890,64610
205,8250,30230
206,54110,37810
207,182460,37630
208,335500,57800
209,335500,57800
210,8930,39062
211,157380,35630
212,62470,123430
213,80520,96710
214,62470,123430
215,43410,32350
216,363880,38660
217,214700,77810
218,33330,45770
219,120740,160370
220,11640,208000
221,10950,47230
222,6560,46910
223,107400,83640
224,81080,77740
225,19690,29520
226,69880,61650
227,439770,27170
228,24030,46980
229,431840,28130
230,206370,44050
231,416320,95270
232,8640,29390
233,940,46210
234,6470,38580
235,489510,29280
236,91590,48040
237,19010,48250
238,11640,104940
239,16370,105630
240,101430,63350
241,285910,98420
242,167060,96910
243,58280,63910
244,60010,47310
245,308000,60510
246,15390,46910
247,182210,100420
248,119510,78310
249,99050,63640
250,284800,37460
251,20930,61510
252,8530,77250
253,51650,61730
254,25440,93420
255,690050,60040
256,14540,60360
257,279500,37460
258,9450,40670
259,106640,104820
260,1394200,61400
261,24380,97860
262,149760,47420
263,3950,47780
264,11290,76730
265,107170,37740
266,128950,61640
267,150420,100640
268,50120,47440
269,36010,104940
270,57680,75930
271,359640,71650
272,16370,105630
273,13400,48390
274,45440,96820
275,77270,76530
276,6240,81980
277,33920,47370
278,77270,76530
279,9430,78830
280,359640,71650
281,8400,36590
282,33670,46740
283,475240,62060
284,6580,47940
285,250540,40700
286,4710,53040
287,63490,37750
288,14460,37550
289,58740,37660
290,3070,58650
291,4530,47700
292,100940,208000
293,2420,79630
294,35280,46910
295,550,47770
296,8220,49990
297,6250,73060
298,284000,29630
299,33020,29630
300,20560,77450
301,3325050,25100
302,27060,37700
303,21910,37650
304,87250,36360
305,32080,62680
306,63370,81410
307,740780,131710
308,127020,73240
309,12080,60820
310,14510,64600
311,21520,99040
312,321450,50700
313,720900,72010
314,55900,62220
315,27670,48640
316,84040,78230
317,1169620,36570
318,21900,49140
319,536100,54850
320,165750,39630
321,122910,48800
322,536100,54850
323,559050,71260
324,237520,79680
325,1495440,60590
326,104480,40390
327,131860,99330
328,659930,61790
329,1097160,39230
330,6530,60730
331,32300,29860
332,8840,60360
333,108480,61640
334,20710,48060
335,4270,39140
336,42840,29880
337,166520,35780
338,26740,35890
339,904330,28780
340,14350,46590
341,14720,78340
342,248870,28730
343,231100,59440
344,20010,35480
345,19520,77030
346,17590,61930
347,2290,42600
348,29120,39290
349,6080,30550
350,9430,64110
351,1270,82330
352,10650,44520
353,11330,37710
354,127020,73240
355,93480,46910
356,277560,95300
357,94630,60660
358,32950,29230
359,13680,74000
360,15030,43710
361,14990,36580
362,11730,29360
363,18800,28600
364,71290,24960
365,4800,76910
366,10500,35450
367,7910,27530
368,3740,70720
369,14290,77850
370,26280,46640
371,67220,208000
372,3376680,97970
373,3220,80150
374,55300,82530
375,47770,61600
376,1360,85220
377,416320,95270
378,3340,81440
379,9170,48310
380,25230,83680
381,211710,103150
382,172980,42570
383,39060,37500
384,51630,47180
385,359640,71650
386,23280,29630
387,211890,50710
388,14190,35670
389,73800,37550
390,298050,29670
391,46780,46300
392,56190,60600
393,505210,99270
394,207700,102720
395,21520,99040
396,182420,60840
397,10080,59500
398,15600,38450
399,374770,48630
400,1984180,48310
401,17730,37870
402,24580,36690
403,71000,36360
404,6910,37760
405,93650,33100
406,8630,33370
