pk_occupation_id,occupation,soc_2int,soc_4int
1,Accountants and Auditors,13,2011
2,Actors,27,2011
3,Actuaries,15,2011
4,Acupuncturists,29,1291
5,Acute Care Nurses,29,1141
6,Adapted Physical Education Specialists,25,2059
7,Adhesive Bonding Machine Operators and Tenders,51,9191
8,"Administrative Law Judges, Adjudicators, and Hearing Officers",23,1021
9,Administrative Services Managers,11,3012
10,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",25,3011
11,Advanced Practice Psychiatric Nurses,29,1141
12,Advertising Sales Agents,41,3011
13,Advertising and Promotions Managers,11,2011
14,Aerospace Engineering and Operations Technologists and Technicians,17,3021
15,Aerospace Engineers,17,2011
16,"Agents and Business Managers of Artists, Performers, and Athletes",13,1011
17,Agricultural Engineers,17,2021
18,Agricultural Equipment Operators,45,2091
19,Agricultural Inspectors,45,2011
20,"Agricultural Sciences Teachers, Postsecondary",25,1041
21,Agricultural Technicians,19,4012
22,Air Traffic Controllers,53,2021
23,Aircraft Cargo Handling Supervisors,53,1041
24,Aircraft Mechanics and Service Technicians,49,3011
25,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",51,2011
26,Airfield Operations Specialists,53,2022
27,"Airline Pilots, Copilots, and Flight Engineers",53,2011
28,Allergists and Immunologists,29,1229
29,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",53,3011
30,Amusement and Recreation Attendants,39,3091
31,Anesthesiologist Assistants,29,1071
32,Anesthesiologists,29,1211
33,Animal Breeders,45,2021
34,Animal Caretakers,39,2021
35,Animal Control Workers,33,9011
36,Animal Scientists,19,1011
37,Animal Trainers,39,2011
38,Anthropologists and Archeologists,19,3091
39,"Anthropology and Archeology Teachers, Postsecondary",25,1061
40,Appraisers and Assessors of Real Estate,13,2023
41,"Arbitrators, Mediators, and Conciliators",23,1022
42,"Architects, Except Landscape and Naval",17,1011
43,Architectural and Civil Drafters,17,3011
44,Architectural and Engineering Managers,11,9041
45,"Architecture Teachers, Postsecondary",25,1031
46,Archivists,25,4011
47,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25,1062
48,Art Directors,27,1011
49,Art Therapists,29,1129
50,"Art, Drama, and Music Teachers, Postsecondary",25,1121
51,Astronomers,19,2011
52,Athletes and Sports Competitors,27,2021
53,Athletic Trainers,29,9091
54,Atmospheric and Space Scientists,19,2021
55,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25,1051
56,Audio and Video Technicians,27,4011
57,Audiologists,29,1181
58,Audiovisual Equipment Installers and Repairers,49,2097
59,Automotive Body and Related Repairers,49,3021
60,Automotive Engineering Technicians,17,3027
61,Automotive Engineers,17,2141
62,Automotive Glass Installers and Repairers,49,3022
63,Automotive Service Technicians and Mechanics,49,3023
64,Automotive and Watercraft Service Attendants,53,6031
65,Aviation Inspectors,53,6051
66,Avionics Technicians,49,2091
67,Baggage Porters and Bellhops,39,6011
68,Bailiffs,33,3011
69,Bakers,51,3011
70,Barbers,39,5011
71,Baristas,35,3023
72,Bartenders,35,3011
73,Bicycle Repairers,49,3091
74,Bill and Account Collectors,43,3011
75,Billing and Posting Clerks,43,3021
76,Biochemists and Biophysicists,19,1021
77,Bioengineers and Biomedical Engineers,17,2031
78,Biofuels Processing Technicians,51,8099
79,Biofuels Production Managers,11,3051
80,Biofuels/Biodiesel Technology and Product Development Managers,11,9041
81,Bioinformatics Scientists,19,1029
82,Bioinformatics Technicians,15,2099
83,"Biological Science Teachers, Postsecondary",25,1042
84,Biological Technicians,19,4021
85,Biologists,19,1029
86,Biomass Plant Technicians,51,8013
87,Biomass Power Plant Managers,11,3051
88,Biostatisticians,15,2041
89,Boilermakers,47,2011
90,"Bookkeeping, Accounting, and Auditing Clerks",43,3031
91,Brickmasons and Blockmasons,47,2021
92,Bridge and Lock Tenders,53,6011
93,Broadcast Announcers and Radio Disc Jockeys,27,3011
94,Broadcast Technicians,27,4012
95,Brokerage Clerks,43,4011
96,Brownfield Redevelopment Specialists and Site Managers,11,9199
97,Budget Analysts,13,2031
98,"Bus Drivers, Transit and Intercity",53,3052
99,Bus and Truck Mechanics and Diesel Engine Specialists,49,3031
100,Business Continuity Planners,13,1199
101,Business Intelligence Analysts,15,2051
102,"Business Teachers, Postsecondary",25,1011
103,Butchers and Meat Cutters,51,3021
104,"Buyers and Purchasing Agents, Farm Products",13,1021
105,Cabinetmakers and Bench Carpenters,51,7011
106,"Camera Operators, Television, Video, and Film",27,4031
107,Camera and Photographic Equipment Repairers,49,9061
108,"Captains, Mates, and Pilots of Water Vessels",53,5021
109,Cardiovascular Technologists and Technicians,29,2031
110,"Career/Technical Education Teachers, Middle School",25,2023
111,"Career/Technical Education Teachers, Postsecondary",25,1194
112,"Career/Technical Education Teachers, Secondary School",25,2032
113,Cargo and Freight Agents,43,5011
114,Carpenters,47,2031
115,Carpet Installers,47,2041
116,Cartographers and Photogrammetrists,17,1021
117,Cashiers,41,2011
118,Cement Masons and Concrete Finishers,47,2051
119,Chefs and Head Cooks,35,1011
120,Chemical Engineers,17,2041
