pk_occupation_id,pk_item_id,item_score
1,121,0.72
1,122,0.77
1,123,0.77
1,124,0.71
1,125,0.73
1,126,0.78
1,127,0.97
1,128,0.92
1,129,0.97
1,130,0.67
1,131,0.57
1,132,0.79
1,133,0.6
1,134,0.86
1,135,0.52
1,136,0.63
2,121,0.93
2,122,0.95
2,123,0.96
2,124,0.95
2,125,0.88
2,126,0.91
2,127,0.76
2,128,0.95
2,129,0.73
2,130,0.73
2,131,0.79
2,132,1
2,133,0.95
2,134,0.56
2,135,0.77
2,136,0.68
3,121,0.86
3,122,0.79
3,123,0.8
3,124,0.7
3,125,0.59
3,126,0.7
3,127,0.94
3,128,0.85
3,129,0.92
3,130,0.61
3,131,0.4
3,132,0.74
3,133,0.32
3,134,0.95
3,135,0.56
3,136,0.64
4,121,0.56
4,122,0.65
4,123,0.72
4,124,0.74
4,125,0.88
4,126,0.66
4,127,0.86
4,128,0.9
4,129,0.97
4,130,0.74
4,131,0.73
4,132,0.67
4,133,0.58
4,134,0.71
4,135,0.6
4,136,0.61
5,121,0.81
5,122,0.85
5,123,0.78
5,124,0.93
5,125,0.9
5,126,0.97
5,127,0.94
5,128,0.94
5,129,0.97
5,130,0.74
5,131,0.93
5,132,0.92
5,133,0.86
5,134,0.78
5,135,0.63
5,136,0.78
6,121,0.78
6,122,0.88
6,123,0.85
6,124,0.93
6,125,0.83
6,126,0.78
6,127,0.76
6,128,0.89
6,129,0.89
6,130,0.79
6,131,0.89
6,132,0.92
6,133,0.76
6,134,0.72
6,135,0.82
6,136,0.83
7,121,0.68
7,122,0.67
7,123,0.71
7,124,0.65
7,125,0.73
7,126,0.58
7,127,0.87
7,128,0.8
7,129,0.71
7,130,0.64
7,131,0.55
7,132,0.74
7,133,0.57
7,134,0.49
7,135,0.51
7,136,0.54
8,121,0.8
8,122,0.75
8,123,0.71
8,124,0.76
8,125,0.94
8,126,0.89
8,127,0.94
8,128,0.88
8,129,0.97
8,130,0.9
8,131,0.81
8,132,0.86
8,133,0.54
8,134,0.88
8,135,0.52
8,136,0.72
9,121,0.74
9,122,0.81
9,123,0.75
9,124,0.8
9,125,0.88
9,126,0.86
9,127,0.84
9,128,0.92
9,129,0.93
9,130,0.78
9,131,0.76
9,132,0.83
9,133,0.66
9,134,0.76
9,135,0.71
9,136,0.74
10,121,0.65
10,122,0.7
10,123,0.69
10,124,0.83
10,125,0.86
10,126,0.73
10,127,0.79
10,128,0.9
10,129,0.88
10,130,0.82
10,131,0.82
10,132,0.81
10,133,0.73
10,134,0.69
10,135,0.68
10,136,0.7
11,121,0.83
11,122,0.86
11,123,0.85
11,124,0.94
11,125,0.94
11,126,0.94
11,127,0.88
11,128,0.95
11,129,0.97
11,130,0.88
11,131,0.95
11,132,0.92
11,133,0.81
11,134,0.87
11,135,0.75
11,136,0.79
12,121,0.85
12,122,0.88
12,123,0.87
12,124,0.77
12,125,0.7
12,126,0.84
12,127,0.88
12,128,0.84
12,129,0.86
12,130,0.79
12,131,0.66
12,132,0.7
12,133,0.74
12,134,0.66
12,135,0.7
12,136,0.63
13,121,0.78
13,122,0.89
13,123,0.83
13,124,0.86
13,125,0.8
13,126,0.84
13,127,0.87
13,128,0.88
13,129,0.79
13,130,0.76
13,131,0.7
13,132,0.88
13,133,0.68
13,134,0.72
13,135,0.75
13,136,0.76
14,121,0.59
14,122,0.81
14,123,0.81
14,124,0.84
14,125,0.68
14,126,0.77
14,127,0.94
14,128,0.9
14,129,0.86
14,130,0.79
14,131,0.48
14,132,0.7
14,133,0.49
14,134,0.87
14,135,0.65
14,136,0.56
15,121,0.77
15,122,0.78
15,123,0.76
15,124,0.78
15,125,0.55
15,126,0.78
15,127,0.92
15,128,0.79
15,129,0.72
15,130,0.69
15,131,0.49
15,132,0.72
15,133,0.44
15,134,0.88
15,135,0.74
15,136,0.6
16,121,0.75
16,122,0.85
16,123,0.9
16,124,0.73
16,125,0.69
16,126,0.67
16,127,0.83
16,128,0.84
16,129,0.84
16,130,0.69
16,131,0.68
16,132,0.81
16,133,0.7
16,134,0.6
16,135,0.66
16,136,0.66
17,121,0.75
17,122,0.79
17,123,0.76
17,124,0.71
17,125,0.7
17,126,0.67
17,127,0.9
17,128,0.85
17,129,0.87
17,130,0.64
17,131,0.58
17,132,0.77
17,133,0.46
17,134,0.87
17,135,0.76
17,136,0.62
18,121,0.61
18,122,0.66
18,123,0.71
18,124,0.57
18,125,0.58
18,126,0.6
18,127,0.69
18,128,0.71
18,129,0.63
18,130,0.69
18,131,0.58
18,132,0.7
18,133,0.53
18,134,0.52
18,135,0.56
18,136,0.56
19,121,0.59
19,122,0.68
19,123,0.56
19,124,0.71
19,125,0.8
19,126,0.72
19,127,0.87
19,128,0.92
19,129,0.91
19,130,0.69
19,131,0.72
19,132,0.82
19,133,0.51
19,134,0.69
19,135,0.52
19,136,0.7
20,121,0.88
20,122,0.86
20,123,0.79
20,124,0.89
20,125,0.83
20,126,0.84
20,127,0.86
20,128,0.91
20,129,0.9
20,130,0.85
20,131,0.85
20,132,0.88
20,133,0.85
20,134,0.9
20,135,0.86
20,136,0.9
21,121,0.83
21,122,0.79
21,123,0.71
21,124,0.79
21,125,0.78
21,126,0.67
21,127,0.97
21,128,0.89
21,129,0.97
21,130,0.8
21,131,0.83
21,132,0.79
21,133,0.79
21,134,0.84
21,135,0.73
21,136,0.82
22,121,0.82
22,122,0.78
22,123,0.84
22,124,0.85
22,125,0.82
22,126,0.91
22,127,0.91
22,128,0.86
22,129,0.78
22,130,0.69
22,131,0.66
22,132,0.79
22,133,0.54
22,134,0.82
22,135,0.6
22,136,0.69
23,121,0.71
23,122,0.75
23,123,0.69
23,124,0.83
23,125,0.87
23,126,0.82
23,127,0.86
23,128,0.86
23,129,0.89
23,130,0.76
23,131,0.77
23,132,0.85
23,133,0.68
23,134,0.69
23,135,0.71
23,136,0.85
24,121,0.74
24,122,0.76
24,123,0.82
24,124,0.76
24,125,0.78
24,126,0.71
24,127,0.97
24,128,0.83
24,129,0.96
24,130,0.71
24,131,0.52
24,132,0.67
24,133,0.58
24,134,0.7
24,135,0.62
24,136,0.7
25,121,0.77
25,122,0.81
25,123,0.73
25,124,0.78
25,125,0.74
25,126,0.65
25,127,0.96
25,128,0.91
25,129,0.91
25,130,0.73
25,131,0.67
25,132,0.83
25,133,0.59
25,134,0.57
25,135,0.59
25,136,0.58
26,121,0.68
26,122,0.69
26,123,0.67
26,124,0.74
26,125,0.62
26,126,0.81
26,127,0.84
26,128,0.87
26,129,0.84
26,130,0.72
26,131,0.59
26,132,0.74
26,133,0.53
26,134,0.64
26,135,0.52
26,136,0.72
27,121,0.68
27,122,0.78
27,123,0.75
27,124,0.85
27,125,0.9
27,126,0.89
27,127,0.93
27,128,0.92
27,129,0.86
27,130,0.44
27,131,0.65
27,132,0.89
27,133,0.72
27,134,0.82
27,135,0.38
27,136,0.82
28,121,0.88
28,122,0.75
28,123,0.83
28,124,0.84
28,125,0.88
28,126,0.84
28,127,0.94
28,128,0.92
28,129,0.93
28,130,0.88
28,131,0.96
28,132,0.83
28,133,0.87
28,134,0.9
28,135,0.58
28,136,0.8
29,121,0.68
29,122,0.7
29,123,0.66
29,124,0.72
29,125,0.84
29,126,0.77
29,127,0.83
29,128,0.86
29,129,0.79
29,130,0.73
29,131,0.85
29,132,0.78
29,133,0.66
29,134,0.59
29,135,0.57
29,136,0.67
30,121,0.42
30,122,0.56
30,123,0.51
30,124,0.71
30,125,0.71
30,126,0.64
30,127,0.7
30,128,0.72
30,129,0.53
30,130,0.62
30,131,0.78
30,132,0.78
30,133,0.67
30,134,0.4
30,135,0.43
30,136,0.61
31,121,0.88
31,122,0.9
31,123,0.84
31,124,0.85
31,125,0.92
31,126,0.98
31,127,1
31,128,0.96
31,129,0.96
31,130,0.85
31,131,0.91
31,132,0.87
31,133,0.8
31,134,0.77
31,135,0.58
31,136,0.77
32,121,0.87
32,122,0.81
32,123,0.83
32,124,0.84
32,125,0.84
32,126,0.87
32,127,0.97
32,128,0.96
32,129,0.89
32,130,0.76
32,131,0.81
32,132,0.8
32,133,0.68
32,134,0.82
32,135,0.59
32,136,0.73
33,121,0.54
33,122,0.64
33,123,0.58
33,124,0.59
33,125,0.69
33,126,0.57
33,127,0.77
33,128,0.83
33,129,0.81
33,130,0.72
33,131,0.63
33,132,0.68
33,133,0.53
33,134,0.53
33,135,0.54
33,136,0.56
34,121,0.69
34,122,0.74
34,123,0.72
34,124,0.82
34,125,0.88
34,126,0.83
34,127,0.84
34,128,0.89
34,129,0.9
34,130,0.78
34,131,0.79
34,132,0.84
34,133,0.58
34,134,0.69
34,135,0.54
34,136,0.69
35,121,0.7
35,122,0.86
35,123,0.79
35,124,0.88
35,125,0.93
35,126,0.92
35,127,0.87
35,128,0.93
35,129,0.93
35,130,0.91
35,131,0.81
35,132,0.89
35,133,0.5
35,134,0.73
35,135,0.77
35,136,0.66
36,121,0.82
36,122,0.87
36,123,0.78
36,124,0.71
36,125,0.72
36,126,0.7
36,127,0.9
36,128,0.89
36,129,0.94
36,130,0.75
36,131,0.64
36,132,0.72
36,133,0.51
36,134,0.89
36,135,0.81
36,136,0.74
37,121,0.6
37,122,0.68
37,123,0.7
37,124,0.74
