occupation,education,education_years
"Accountants and Auditors","Bachelor's degree",21.0
Actors,"Some college, no degree",18.0
Actuaries,"Bachelor's degree",21.0
Acupuncturists,"Doctoral or professional degree",22.0
"Acute Care Nurses","Bachelor's degree",21.0
"Adapted Physical Education Specialists","Bachelor's degree",21.0
"Adhesive Bonding Machine Operators and Tenders","High school diploma or equivalent",17.0
"Administrative Law Judges, Adjudicators, and Hearing Officers","Doctoral or professional degree",22.0
"Administrative Services Managers","Postsecondary nondegree award",18.5
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Bachelor's degree",21.0
"Advanced Practice Psychiatric Nurses","Bachelor's degree",21.0
"Advertising Sales Agents","High school diploma or equivalent",17.0
"Advertising and Promotions Managers","Bachelor's degree",21.0
"Aerospace Engineering and Operations Technologists and Technicians","Associate's degree",19.0
"Aerospace Engineers","Bachelor's degree",21.0
"Agents and Business Managers of Artists, Performers, and Athletes","Bachelor's degree",21.0
"Agricultural Engineers","Bachelor's degree",21.0
"Agricultural Equipment Operators","No formal educational credential",14.0
"Agricultural Inspectors","Bachelor's degree",21.0
"Agricultural Sciences Teachers, Postsecondary","Doctoral or professional degree",22.0
"Agricultural Technicians","Postsecondary nondegree award",18.5
"Air Traffic Controllers","Associate's degree",19.0
"Aircraft Cargo Handling Supervisors","High school diploma or equivalent",17.0
"Aircraft Mechanics and Service Technicians","Postsecondary nondegree award",18.5
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","High school diploma or equivalent",17.0
"Airfield Operations Specialists","High school diploma or equivalent",17.0
"Airline Pilots, Copilots, and Flight Engineers","Bachelor's degree",21.0
"Allergists and Immunologists","Doctoral or professional degree",22.0
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians","High school diploma or equivalent",17.0
"Amusement and Recreation Attendants","No formal educational credential",14.0
"Anesthesiologist Assistants","Master's degree",22.0
Anesthesiologists,"Doctoral or professional degree",22.0
"Animal Breeders","High school diploma or equivalent",17.0
"Animal Caretakers","High school diploma or equivalent",17.0
"Animal Control Workers","High school diploma or equivalent",17.0
"Animal Scientists","Bachelor's degree",21.0
"Animal Trainers","High school diploma or equivalent",17.0
"Anthropologists and Archeologists","Master's degree",22.0
"Anthropology and Archeology Teachers, Postsecondary","Doctoral or professional degree",22.0
"Appraisers and Assessors of Real Estate","Bachelor's degree",21.0
"Arbitrators, Mediators, and Conciliators","Bachelor's degree",21.0
"Architects, Except Landscape and Naval","Bachelor's degree",21.0
"Architectural and Civil Drafters","Associate's degree",19.0
"Architectural and Engineering Managers","Bachelor's degree",21.0
"Architecture Teachers, Postsecondary","Doctoral or professional degree",22.0
Archivists,"Master's degree",22.0
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Doctoral or professional degree",22.0
"Art Directors","Bachelor's degree",21.0
"Art Therapists","Bachelor's degree",21.0
"Art, Drama, and Music Teachers, Postsecondary","Master's degree",22.0
Astronomers,"Doctoral or professional degree",22.0
"Athletes and Sports Competitors","No formal educational credential",14.0
"Athletic Trainers","Bachelor's degree",21.0
"Atmospheric and Space Scientists","Bachelor's degree",21.0
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Doctoral or professional degree",22.0
"Audio and Video Technicians","Postsecondary nondegree award",18.5
Audiologists,"Doctoral or professional degree",22.0
"Audiovisual Equipment Installers and Repairers","Postsecondary nondegree award",18.5
"Automotive Body and Related Repairers","High school diploma or equivalent",17.0
"Automotive Engineering Technicians","Associate's degree",19.0
"Automotive Engineers","Bachelor's degree",21.0
"Automotive Glass Installers and Repairers","High school diploma or equivalent",17.0
"Automotive Service Technicians and Mechanics","Postsecondary nondegree award",18.5
"Automotive and Watercraft Service Attendants","No formal educational credential",14.0
"Aviation Inspectors","High school diploma or equivalent",17.0
"Avionics Technicians","Associate's degree",19.0
"Baggage Porters and Bellhops","High school diploma or equivalent",17.0
Bailiffs,"High school diploma or equivalent",17.0
Bakers,"No formal educational credential",14.0
Barbers,"Postsecondary nondegree award",18.5
Baristas,"No formal educational credential",14.0
Bartenders,"No formal educational credential",14.0
"Bicycle Repairers","High school diploma or equivalent",17.0
"Bill and Account Collectors","High school diploma or equivalent",17.0
"Billing and Posting Clerks","High school diploma or equivalent",17.0
"Biochemists and Biophysicists","Doctoral or professional degree",22.0
