occupation,employment_variants,employment_norm,wage
"Accountants and Auditors",1402420,4249.75757575758,77250.0
Actors,54160,164.121212121212,48838.0
Actuaries,25010,75.7878787878788,105900.0
Acupuncturists,7800,23.6363636363636,60570.0
"Acute Care Nurses",614540,1862.24242424242,77600.0
"Adapted Physical Education Specialists",42780,129.636363636364,61720.0
"Adhesive Bonding Machine Operators and Tenders",11320,34.3030303030303,37630.0
"Administrative Law Judges, Adjudicators, and Hearing Officers",12490,37.8484848484849,102550.0
"Administrative Services Managers",236570,716.878787878788,100170.0
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",36490,110.575757575758,59720.0
"Advanced Practice Psychiatric Nurses",614540,1862.24242424242,77600.0
"Advertising Sales Agents",106560,322.909090909091,52340.0
"Advertising and Promotions Managers",22010,66.6969696969697,127150.0
"Aerospace Engineering and Operations Technologists and Technicians",9750,29.5454545454545,73580.0
"Aerospace Engineers",61580,186.606060606061,122270.0
"Agents and Business Managers of Artists, Performers, and Athletes",13130,39.7878787878788,78410.0
"Agricultural Engineers",1500,4.54545454545455,82640.0
"Agricultural Equipment Operators",28830,87.3636363636364,36360.0
"Agricultural Inspectors",14000,42.4242424242424,45140.0
"Agricultural Sciences Teachers, Postsecondary",8240,24.969696969697,95910.0
"Agricultural Technicians",6570,19.9090909090909,40430.0
"Air Traffic Controllers",21250,64.3939393939394,129750.0
"Aircraft Cargo Handling Supervisors",7950,24.0909090909091,53540.0
"Aircraft Mechanics and Service Technicians",134070,406.272727272727,65380.0
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",32140,97.3939393939394,49480.0
"Airfield Operations Specialists",14760,44.7272727272727,47880.0
"Airline Pilots, Copilots, and Flight Engineers",89580,271.454545454545,202180.0
"Allergists and Immunologists",50876,154.169696969697,208000.0
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",9910,30.030303030303,29120.0
"Amusement and Recreation Attendants",324580,983.575757575758,24500.0
"Anesthesiologist Assistants",70455,213.5,121530.0
Anesthesiologists,37430,113.424242424242,208000.0
"Animal Breeders",1270,3.84848484848485,40090.0
"Animal Caretakers",256670,777.787878787879,28600.0
"Animal Control Workers",11490,34.8181818181818,39160.0
"Animal Scientists",2520,7.63636363636364,65090.0
"Animal Trainers",17710,53.6666666666667,31280.0
"Anthropologists and Archeologists",7350,22.2727272727273,61910.0
"Anthropology and Archeology Teachers, Postsecondary",4930,14.9393939393939,97340.0
"Appraisers and Assessors of Real Estate",76100,230.606060606061,61340.0
"Arbitrators, Mediators, and Conciliators",7780,23.5757575757576,49410.0
"Architects, Except Landscape and Naval",107490,325.727272727273,80180.0
"Architectural and Civil Drafters",105960,321.090909090909,60340.0
"Architectural and Engineering Managers",98590,298.757575757576,152350.0
"Architecture Teachers, Postsecondary",6420,19.4545454545455,95160.0
Archivists,7230,21.9090909090909,60050.0
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",9340,28.3030303030303,78910.0
"Art Directors",54470,165.060606060606,100890.0
"Art Therapists",8460,25.6363636363636,59500.0
"Art, Drama, and Music Teachers, Postsecondary",97830,296.454545454545,75940.0
Astronomers,2160,6.54545454545455,128160.0
"Athletes and Sports Competitors",11930,36.1515151515151,77300.0
"Athletic Trainers",29720,90.0606060606061,48420.0
"Atmospheric and Space Scientists",9900,30.0,94570.0
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",11150,33.7878787878788,98070.0
"Audio and Video Technicians",56110,170.030303030303,48820.0
Audiologists,13940,42.2424242424242,78950.0
"Audiovisual Equipment Installers and Repairers",22200,67.2727272727273,44790.0
"Automotive Body and Related Repairers",138760,420.484848484848,47270.0
"Automotive Engineering Technicians",19805,60.0151515151515,60460.0
"Automotive Engineers",92520,280.363636363636,95300.0
"Automotive Glass Installers and Repairers",17370,52.6363636363636,37920.0
"Automotive Service Technicians and Mechanics",664070,2012.33333333333,46880.0
"Automotive and Watercraft Service Attendants",99600,301.818181818182,29330.0
"Aviation Inspectors",8140,24.6666666666667,79770.0
"Avionics Technicians",20200,61.2121212121212,69280.0
"Baggage Porters and Bellhops",26520,80.3636363636364,29120.0
Bailiffs,16470,49.9090909090909,48320.0
Bakers,205300,622.121212121212,29750.0
Barbers,12690,38.4545454545455,29970.0
Baristas,1662525,5037.95454545455,25100.0
Bartenders,613070,1857.78787878788,26350.0
"Bicycle Repairers",13760,41.6969696969697,34690.0
"Bill and Account Collectors",202840,614.666666666667,37700.0
"Billing and Posting Clerks",441980,1339.33333333333,38330.0
"Biochemists and Biophysicists",32500,98.4848484848485,102270.0
"Bioengineers and Biomedical Engineers",19210,58.2121212121212,97410.0
"Biofuels Processing Technicians",15370,46.5757575757576,50250.0
"Biofuels Production Managers",35285,106.924242424242,103150.0
"Biofuels/Biodiesel Technology and Product Development Managers",98590,298.757575757576,152350.0
"Bioinformatics Scientists",13825,41.8939393939394,82530.0
"Bioinformatics Technicians",3840,11.6363636363636,62460.0
"Biological Science Teachers, Postsecondary",49920,151.272727272727,81440.0
"Biological Technicians",73710,223.363636363636,48140.0
Biologists,13825,41.8939393939394,82530.0
"Biomass Plant Technicians",10530,31.9090909090909,80850.0
"Biomass Power Plant Managers",35285,106.924242424242,103150.0
Biostatisticians,15390,46.6363636363636,95570.0
Boilermakers,13570,41.1212121212121,64290.0
"Bookkeeping, Accounting, and Auditing Clerks",1550750,4699.24242424242,45560.0
"Brickmasons and Blockmasons",55530,168.272727272727,59340.0
"Bridge and Lock Tenders",3690,11.1818181818182,45390.0
"Broadcast Announcers and Radio Disc Jockeys",26820,81.2727272727273,37630.0
"Broadcast Technicians",33020,100.060606060606,44740.0
"Brokerage Clerks",42700,129.393939393939,54000.0
"Brownfield Redevelopment Specialists and Site Managers",90548,274.387878787879,124650.0
"Budget Analysts",48430,146.757575757576,79940.0
"Bus Drivers, Transit and Intercity",141530,428.878787878788,48620.0
"Bus and Truck Mechanics and Diesel Engine Specialists",271720,823.393939393939,48690.0
"Business Continuity Planners",360410,1092.15151515152,74670.0
"Business Intelligence Analysts",79815,241.863636363636,100910.0
"Business Teachers, Postsecondary",78410,237.606060606061,94360.0
"Butchers and Meat Cutters",129400,392.121212121212,36050.0
"Buyers and Purchasing Agents, Farm Products",439000,1330.30303030303,63470.0
"Cabinetmakers and Bench Carpenters",95980,290.848484848485,37540.0
"Camera Operators, Television, Video, and Film",22970,69.6060606060606,49230.0
"Camera and Photographic Equipment Repairers",2120,6.42424242424242,38200.0
"Captains, Mates, and Pilots of Water Vessels",34940,105.878787878788,81640.0
"Cardiovascular Technologists and Technicians",55750,168.939393939394,60570.0
"Career/Technical Education Teachers, Middle School",11110,33.6666666666667,61820.0
"Career/Technical Education Teachers, Postsecondary",103100,312.424242424242,59840.0
"Career/Technical Education Teachers, Secondary School",88280,267.515151515152,61820.0
"Cargo and Freight Agents",46740,141.636363636364,46910.0
Carpenters,689770,2090.21212121212,48260.0
"Carpet Installers",17400,52.7272727272727,46640.0
"Cartographers and Photogrammetrists",13270,40.2121212121212,68900.0
Cashiers,3296040,9988.0,27260.0
"Cement Masons and Concrete Finishers",196730,596.151515151515,47340.0
"Chefs and Head Cooks",160190,485.424242424242,50160.0
"Chemical Engineers",20380,61.7575757575758,105550.0
"Chemical Equipment Operators and Tenders",115370,349.606060606061,48090.0
"Chemical Plant and System Operators",18710,56.6969696969697,70200.0
"Chemical Technicians",56030,169.787878787879,48990.0
"Chemistry Teachers, Postsecondary",20650,62.5757575757576,79410.0
Chemists,83940,254.363636363636,79430.0
"Chief Executives",99620,301.878787878788,179520.0
"Chief Sustainability Officers",99620,301.878787878788,179520.0
"Child, Family, and School Social Workers",344770,1044.75757575758,49150.0
"Childcare Workers",229730,696.151515151515,27490.0
Chiropractors,37740,114.363636363636,75000.0
Choreographers,5400,16.3636363636364,42700.0
"Civil Engineering Technologists and Technicians",62350,188.939393939394,58320.0
"Civil Engineers",102523,310.675757575758,88050.0
"Claims Adjusters, Examiners, and Investigators",285270,864.454545454545,65080.0
"Cleaners of Vehicles and Equipment",359530,1089.48484848485,29280.0
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",13200,40.0,35090.0
Clergy,53140,161.030303030303,49720.0
"Climate Change Policy Analysts",19317,58.5363636363636,76530.0
"Clinical Data Managers",79815,241.863636363636,100910.0
"Clinical Nurse Specialists",614540,1862.24242424242,77600.0
"Clinical Research Coordinators",27523,83.4030303030303,137900.0
"Clinical and Counseling Psychologists",62880,190.545454545455,82510.0
"Coaches and Scouts",218970,663.545454545455,38970.0
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",152120,460.969696969697,39130.0
"Coil Winders, Tapers, and Finishers",10860,32.9090909090909,38360.0
"Coin, Vending, and Amusement Machine Servicers and Repairers",35790,108.454545454545,39040.0
"Commercial Divers",3860,11.6969696969697,60360.0
"Commercial Pilots",48750,147.727272727273,99640.0
"Commercial and Industrial Designers",30450,92.2727272727273,77030.0
"Communications Teachers, Postsecondary",27350,82.8787878787879,77560.0
"Community Health Workers",61300,185.757575757576,46590.0
"Compensation and Benefits Managers",16850,51.0606060606061,127530.0
"Compensation, Benefits, and Job Analysis Specialists",93550,283.484848484848,64120.0
"Compliance Managers",90548,274.387878787879,124650.0
"Compliance Officers",51377,155.687878787879,71650.0
"Computer Hardware Engineers",74640,226.181818181818,128170.0
"Computer Network Architects",86960,263.515151515152,120520.0
"Computer Network Support Specialists",168920,511.878787878788,62760.0
"Computer Numerically Controlled Tool Operators",179360,543.515151515152,46640.0
"Computer Numerically Controlled Tool Programmers",28120,85.2121212121212,60780.0
"Computer Programmers",132740,402.242424242424,93000.0
"Computer Science Teachers, Postsecondary",33870,102.636363636364,77910.0
"Computer Systems Analysts",252605,765.469696969697,99270.0
"Computer Systems Engineers/Architects",83264,252.315151515152,95270.0
"Computer User Support Specialists",696830,2111.60606060606,49770.0
"Computer and Information Research Scientists",33780,102.363636363636,131490.0
"Computer and Information Systems Managers",533220,1615.81818181818,159010.0
"Computer, Automated Teller, and Office Machine Repairers",81440,246.787878787879,40970.0
Concierges,37600,113.939393939394,35210.0
"Conservation Scientists",7626,23.1090909090909,63750.0
"Construction Laborers",1012780,3069.0303030303,37770.0
"Construction Managers",303220,918.848484848485,98890.0
"Construction and Building Inspectors",64475,195.378787878788,61640.0
"Continuous Mining Machine Operators",13500,40.9090909090909,60300.0
"Control and Valve Installers and Repairers, Except Mechanical Door",46410,140.636363636364,62760.0
"Conveyor Operators and Tenders",27780,84.1818181818182,36420.0
"Cooks, Fast Food",725590,2198.75757575758,24180.0
"Cooks, Institution and Cafeteria",417780,1266.0,29910.0
"Cooks, Private Household",610,1.84848484848485,42920.0
"Cooks, Restaurant",1321480,4004.48484848485,30010.0
