"occupation","active_listening","pure_mathematics","reading_comprehension","natural_science","speaking","writing","active_learning","critical_thinking","learning_strategies","monitoring","complex_problem_solving","management_of_financial_resources","management_of_material_resources","management_of_personal_resources","time_management","coordination","instructing","negotiation","persuasion","service_orientation","social_perceptiveness","judgment_and_decision","systems_analysis","systems_evaluation","installation","quality_control_analysis","technology_design","equipment_selection","equipment_maintenance","programming","troubleshooting","operations_monitoring","repairing","operation_and_control","operations_analysis","multitasking","selective_attention","problem_sensitivity","fluency_of_ideas","originality","deductive_reasoning","inductive_reasoning","category_flexibility","information_ordering","perceptual_speed","flexibility_of_closure","speed_of_closure","number_facility","mathematical_reasoning","spatial_orientation","visualization","written_expression","oral_expression","oral_comprehension","written_comprehension","memorization","dynamic_flexibility","gross_body_equilibrium","extent_flexibility","gross_body_coordination","explosive_strength","static_strength","dynamic_strength","trunk_strength","stamina","response_orientation","control_precision","multilimb_coordination","rate_control","arm_hand_steadiness","finger_dexterity","manual_dexterity","speed_of_limb_movement","wrist_finger_speed","reaction_time","speech_clarity","auditory_attention","speech_recognition","sound_localization","hearing_sensitivity","far_vision","glare_sensitivity","night_vision","depth_perception","visual_color_discrimination","peripheral_vision","near_vision","native_language","history_and_archeology","foreign_language","philosophy_and_theology","fine_arts","administration_and_management","economics_and_accounting","customer_and_personal_service","personnel_and_human_resources","administrative","sales_and_marketing","communications_and_media","telecommunications","building_and_construction","engineering_and_technology","mechanical","industrial_design","computers_and_electronics","education_and_training","therapy_and_counseling","medicine_and_dentistry","public_safety_and_security","law_and_government","food_production","production_and_processing","geography","chemistry","applied_mathematics","physics","sociology_and_anthropology","biology","psychology","transportation"
"Accountants and Auditors",0.57,0.57,0.58,0.23,0.55,0.52,0.5,0.55,0.43,0.51,0.51,0.37,0.25,0.44,0.48,0.46,0.46,0.44,0.47,0.45,0.45,0.54,0.52,0.49,0,0,0.13,0,0,0.14,0,0.21,0,0,0.38,0.33,0.43,0.56,0.47,0.46,0.62,0.59,0.54,0.55,0.42,0.47,0.41,0.6,0.58,0,0.34,0.57,0.62,0.59,0.61,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0.47,0.2,0.48,0,0.24,0.37,0,0,0.1,0.27,0,0.59,0.61,0,0,0,0,0.58,0.83,0.63,0.43,0.64,0,0.34,0.13,0,0,0,0,0.57,0.49,0,0,0,0.51,0,0.16,0,0,0.7,0,0,0,0.24,0.13
"Actors",0.52,0,0.55,0.07,0.57,0.48,0.37,0.43,0.36,0.43,0.37,0,0,0.34,0.43,0.43,0.37,0.37,0.39,0.32,0.54,0.43,0.23,0.23,0,0,0,0,0,0,0,0,0,0,0.2,0.41,0.45,0.45,0.48,0.48,0.43,0.43,0.43,0.43,0.27,0.34,0.32,0,0,0,0.36,0.48,0.57,0.59,0.5,0.57,0,0.29,0.27,0.36,0.13,0.27,0.27,0.34,0.25,0,0,0.29,0,0.25,0.27,0.25,0,0,0,0.68,0.27,0.41,0,0.25,0.37,0.21,0,0,0.27,0,0.5,0.67,0.42,0.31,0.43,0.84,0.32,0,0.43,0.26,0.3,0.45,0.66,0.17,0.16,0,0,0.29,0.3,0.44,0.33,0,0.23,0.15,0,0,0.24,0,0.2,0,0.62,0,0.55,0.17
"Actuaries",0.59,0.7,0.66,0.29,0.57,0.57,0.59,0.68,0.5,0.52,0.66,0.48,0.32,0.41,0.5,0.43,0.5,0.45,0.52,0.45,0.41,0.68,0.64,0.64,0,0.25,0.14,0,0,0.39,0,0.18,0,0,0.48,0.34,0.52,0.63,0.57,0.5,0.68,0.66,0.57,0.61,0.43,0.48,0.41,0.71,0.71,0,0.41,0.57,0.68,0.64,0.66,0.37,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0.18,0,0,0,0,0.54,0.23,0.55,0,0.21,0.41,0,0,0.11,0.25,0,0.57,0.63,0,0.17,0,0,0.67,0.75,0.44,0.53,0.41,0.48,0.32,0.08,0,0.16,0,0.22,0.65,0.51,0.11,0.2,0.18,0.54,0,0.2,0.23,0,0.95,0,0.28,0,0.35,0.13
"Acupuncturists",0.57,0.29,0.57,0.3,0.55,0.5,0.46,0.55,0.41,0.5,0.45,0.13,0.14,0.29,0.41,0.41,0.41,0.29,0.39,0.5,0.55,0.52,0.41,0.41,0,0.29,0.09,0.11,0,0,0.11,0.21,0,0.13,0.16,0.34,0.45,0.59,0.46,0.45,0.57,0.57,0.46,0.45,0.39,0.45,0.3,0.3,0.29,0,0.41,0.54,0.59,0.59,0.57,0.25,0,0.13,0.29,0.09,0,0.23,0.25,0.34,0.25,0,0.3,0.32,0,0.48,0.5,0.43,0,0.11,0.09,0.43,0.25,0.43,0,0.25,0.36,0,0,0.23,0.25,0,0.55,0.54,0,0.26,0.57,0,0.48,0.34,0.74,0.44,0.55,0.62,0.36,0.15,0,0.11,0,0,0.45,0.7,0.71,0.68,0.34,0.36,0,0.29,0.24,0.25,0.29,0,0.43,0.55,0.79,0.14
"Acute Care Nurses",0.55,0.41,0.64,0.45,0.57,0.52,0.55,0.57,0.52,0.59,0.54,0.23,0.27,0.43,0.46,0.55,0.57,0.45,0.45,0.55,0.66,0.57,0.45,0.46,0,0.36,0.16,0.14,0,0.11,0.23,0.43,0,0.39,0.37,0.43,0.45,0.68,0.43,0.43,0.57,0.57,0.48,0.57,0.43,0.43,0.43,0.41,0.41,0,0.41,0.57,0.57,0.59,0.57,0.41,0,0.27,0.09,0.29,0.27,0.41,0.11,0.13,0.25,0.29,0.13,0.13,0.05,0.14,0.36,0.14,0,0.05,0.29,0.52,0.32,0.54,0,0.32,0.41,0,0,0.25,0.43,0,0.57,0.64,0.12,0.28,0.48,0,0.42,0.16,0.8,0.35,0.44,0.23,0.32,0.18,0,0.17,0.19,0,0.43,0.67,0.66,0.69,0.43,0.38,0,0.17,0.14,0.41,0.53,0.25,0.52,0.5,0.82,0.13
"Adapted Physical Education Specialists",0.59,0.29,0.57,0.13,0.57,0.55,0.55,0.55,0.57,0.55,0.48,0.07,0.2,0.41,0.46,0.55,0.52,0.45,0.52,0.54,0.59,0.55,0.43,0.46,0,0.25,0.16,0,0,0,0.13,0.29,0,0.07,0.29,0.41,0.43,0.55,0.5,0.5,0.55,0.48,0.46,0.54,0.41,0.43,0.39,0.29,0.29,0.13,0.37,0.54,0.59,0.61,0.57,0.39,0,0.39,0.43,0.43,0.3,0.43,0.3,0.43,0.43,0.29,0.36,0.43,0,0.43,0.39,0.43,0.23,0.07,0.18,0.57,0.34,0.55,0,0.3,0.45,0,0,0.27,0.3,0,0.54,0.56,0.18,0.26,0.35,0.2,0.35,0.12,0.53,0.2,0.44,0.12,0.39,0.14,0,0.25,0.21,0.18,0.48,0.71,0.5,0.33,0.35,0.38,0,0.16,0.13,0.12,0.37,0.19,0.41,0.29,0.68,0.25
"Adhesive Bonding Machine Operators and Tenders",0.39,0.34,0.36,0.07,0.37,0.32,0.34,0.39,0.3,0.45,0.36,0.11,0.18,0.25,0.41,0.43,0.34,0.23,0.27,0.29,0.34,0.36,0.37,0.27,0,0.5,0,0.3,0.45,0.09,0.43,0.57,0.41,0.54,0.11,0.32,0.46,0.43,0.25,0.25,0.39,0.39,0.43,0.43,0.45,0.39,0.29,0.3,0.29,0.18,0.45,0.32,0.43,0.45,0.43,0.25,0.11,0.29,0.48,0.39,0.16,0.5,0.39,0.45,0.37,0.41,0.48,0.52,0.45,0.43,0.45,0.43,0.25,0.34,0.48,0.37,0.45,0.39,0.16,0.39,0.41,0.18,0.16,0.41,0.37,0.21,0.46,0.48,0,0,0,0,0.35,0.18,0.36,0.31,0.21,0.26,0,0.14,0.15,0.33,0.58,0.18,0.44,0.5,0,0,0.36,0,0,0.59,0,0.45,0.4,0.21,0.15,0,0.31,0.22
"Administrative Law Judges, Adjudicators, and Hearing Officers",0.79,0.34,0.68,0.11,0.68,0.7,0.59,0.73,0.41,0.57,0.57,0.14,0.09,0.36,0.48,0.41,0.41,0.5,0.52,0.41,0.57,0.7,0.39,0.41,0,0,0.13,0,0,0.07,0,0.07,0,0,0.25,0.37,0.43,0.57,0.45,0.43,0.68,0.7,0.46,0.54,0.36,0.41,0.34,0.37,0.34,0,0.18,0.71,0.71,0.71,0.71,0.39,0,0,0,0,0,0,0,0.09,0,0,0.09,0,0,0.11,0.21,0.11,0,0,0,0.63,0.29,0.57,0,0.2,0.43,0,0,0,0.14,0,0.61,0.66,0,0.07,0.19,0,0.49,0.12,0.62,0.4,0.6,0,0.3,0.14,0,0,0.07,0,0.45,0.33,0.4,0.37,0.28,0.71,0,0.18,0.09,0,0.34,0,0.19,0,0.36,0.22
"Administrative Services Managers",0.57,0.3,0.57,0,0.55,0.54,0.48,0.55,0.46,0.52,0.45,0.41,0.41,0.54,0.57,0.52,0.46,0.46,0.45,0.46,0.54,0.45,0.45,0.45,0,0.3,0.11,0,0,0.09,0.18,0.32,0,0.14,0.36,0.41,0.43,0.54,0.45,0.45,0.55,0.48,0.45,0.45,0.34,0.34,0.37,0.39,0.36,0.07,0.39,0.57,0.57,0.57,0.57,0.37,0,0.09,0.11,0.09,0.11,0.14,0.11,0.18,0.07,0.09,0.25,0.14,0.13,0.29,0.3,0.23,0,0,0.13,0.5,0.32,0.52,0.11,0.3,0.39,0.09,0.09,0.23,0.29,0.09,0.52,0.55,0.11,0.11,0.19,0,0.65,0.45,0.74,0.59,0.74,0.29,0.31,0.31,0.31,0.23,0.32,0.29,0.59,0.44,0.2,0.15,0.47,0.38,0,0.43,0.16,0.19,0.51,0.16,0.21,0,0.28,0.2
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0.54,0.36,0.55,0.09,0.57,0.55,0.46,0.5,0.55,0.55,0.43,0,0,0.41,0.46,0.48,0.57,0.45,0.43,0.45,0.54,0.43,0.41,0.41,0,0,0.16,0,0,0.09,0,0.16,0,0,0.09,0.37,0.41,0.5,0.45,0.45,0.52,0.52,0.43,0.5,0.37,0.41,0.37,0.39,0.39,0,0.29,0.57,0.61,0.59,0.57,0.41,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.2,0,0,0,0,0.55,0.21,0.46,0,0.29,0.39,0,0,0,0.29,0,0.45,0.81,0.43,0.27,0.38,0.13,0.43,0,0.66,0.19,0.5,0.11,0.31,0.09,0,0,0,0,0.4,0.64,0.34,0,0.19,0.26,0,0,0.53,0.1,0.43,0,0.47,0.15,0.44,0.08
